team_title,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
Augsburg,513,32217,35,38.38893003202975,24,27.923553015105426,384,288,68,4,34,36.873376639559865,106.39242016989738,64.03984780237079
Bayer_Leverkusen,510,33649,70,64.31216239649802,52,45.82355987187475,503,385,60,1,67,59.765502453781664,176.77491746284068,113.69683846272528
Bayern_Munich,520,33611,96,95.57128382474184,65,72.25352125056088,645,514,48,1,87,87.99351693317294,343.28376567177474,235.57514983415604
Bochum,512,32609,30,45.20208555739373,20,31.632180484943092,416,290,67,2,29,42.92875540535897,113.35817409399897,56.22505230270326
Borussia_Dortmund,517,33128,69,69.55146504752338,54,54.34970354940742,477,364,65,6,64,65.00480496697128,229.96322850510478,142.76250968594104
Borussia_M.Gladbach,539,33617,53,54.457838636823,39,40.400003934279084,417,304,49,3,49,50.668955265544355,160.81196228601038,98.48674549907446
Eintracht_Frankfurt,536,33664,68,74.09555099718273,46,50.92490262258798,486,351,54,1,65,70.30666762404144,219.74817563593388,131.90978253167123
FC_Heidenheim,487,30266,34,41.338023834861815,20,27.928396406583488,380,252,58,0,29,37.549140431918204,90.05957076884806,47.49525321274996
Freiburg,528,33576,46,56.136757193133235,35,36.91620054701343,408,283,52,2,46,53.10565046034753,149.7040867228061,87.27157997898757
Hoffenheim,502,32839,43,43.526177203748375,26,32.356792237609625,419,317,65,2,40,41.25284713739529,135.11365422047675,81.6319180149585
Holstein_Kiel,521,32592,47,42.583357436116785,27,28.731985728722066,361,254,71,4,44,39.552250733133405,128.11254285927862,79.73888698965311
Mainz_05,513,33447,53,56.6802328331396,37,40.45393629744649,418,317,64,5,49,53.649126085452735,154.93533578980714,85.31308177858591
RasenBallsport_Leipzig,505,32212,48,50.06944856606424,31,37.374246038496494,381,292,63,5,46,47.796118607744575,145.90467170998454,87.9744121497497
St._Pauli,498,32484,25,38.30240062624216,21,28.75941600976512,361,262,47,4,24,36.786847181618214,105.2463821908459,64.18316444382071
Union_Berlin,542,33616,36,43.473608770407736,23,29.29916282184422,415,290,71,1,33,41.20027876738459,87.86921196896583,44.806332726962864
VfB_Stuttgart,519,33090,60,73.94636094477028,44,51.458729594014585,466,356,65,5,58,69.39970088098198,232.2583450768143,149.07420963421464
Werder_Bremen,523,33276,52,54.19777700677514,38,42.310848478227854,415,321,68,4,50,51.92444686964154,166.91687158402056,99.54988476540893
Wolfsburg,496,31562,51,52.84638167824596,37,36.54788330104202,416,299,69,3,47,49.05749827157706,126.24414627067745,74.5120815243572
