team_title,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
Alaves,558,36281,38,45.74820446083322,18,25.128178322687745,386,261,101,5,29,37.572150668594986,84.00015398487449,42.997912526130676
Athletic_Club,607,37590,53,60.78501573391259,40,42.804475044831634,470,353,62,3,50,56.32535001821816,178.35686063021421,110.17977359239012
Atletico_Madrid,606,37536,68,73.12582097901031,50,53.54542257171124,468,347,72,3,62,67.92287759436294,243.96009121183306,153.5642050243914
Barcelona,598,37610,99,100.52670392021535,74,73.6455068346113,677,499,61,3,92,94.58048301562667,356.60026352480054,232.08490973711014
Celta_Vigo,594,37188,57,58.546380002982914,40,41.65257344394922,447,332,76,5,49,51.856881394051015,198.8488629097119,129.426325770095
Espanyol,581,36238,38,38.30915707955137,25,26.392604684922844,352,246,84,1,33,34.592769055161625,88.46279711741954,48.14918662933633
Getafe,530,34391,30,36.042305088602006,19,23.767273830715567,393,265,100,7,25,32.325916920788586,79.74079236434773,40.36448019742966
Girona,565,36282,41,42.88306911569089,31,31.645132799632847,372,286,73,1,37,39.166680975817144,143.00361723918468,97.78900744020939
Las_Palmas,607,37501,38,39.199912377633154,27,27.68718170002103,411,301,102,4,35,36.22680181916803,114.54263818170875,68.4653557613492
Leganes,585,37488,38,39.06742452410981,27,24.487613399978727,353,240,81,5,33,33.86448120651767,88.87557250540704,49.79747455846518
Mallorca,597,37460,34,44.89486732427031,24,30.92149035539478,386,281,77,6,30,41.1784792849794,111.66726344730705,66.9417160982266
Osasuna,567,34660,44,48.333464472554624,28,32.982046018820256,408,295,82,0,35,41.6439658915624,104.71833899337798,55.65604991558939
Rayo_Vallecano,606,37463,38,50.999596998561174,27,38.10901940939948,515,374,95,3,38,50.25631938921288,150.93828855268657,90.64452802576125
Real_Betis,576,37011,55,60.54538990743458,37,42.28239376563579,517,409,70,4,48,53.112613609060645,173.13785018771887,106.51991553930566
Real_Madrid,562,37530,78,89.2256290577352,55,65.05234965262935,635,503,57,3,68,78.81974244117737,312.6987327374518,213.6941724391654
Real_Sociedad,591,37147,34,47.788058226928115,22,34.4535892829299,384,283,83,4,30,44.814947759732604,142.72681508399546,85.40397758595645
Real_Valladolid,584,36686,26,36.03120188834146,15,27.234456930775195,332,254,88,5,21,32.31481383414939,108.87946022581309,66.83776208013296
Sevilla,592,37460,39,45.540928435046226,32,32.77149735670537,475,357,92,8,37,43.31109556229785,134.8344033891335,81.36374533642083
Valencia,545,33906,33,39.3573333453387,22,27.788324472494423,334,239,76,1,30,37.127500461414456,113.82162761688232,71.80210860352963
Villarreal,561,36871,66,73.12657834310085,50,54.741563335992396,524,420,92,4,61,67.92363507766277,217.11060790531337,130.4089302746579
