team_title,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
Angers,531,33526,31,40.335028554312885,17,27.116419023368508,316,216,49,2,26,35.77445775922388,99.90543351555243,54.60870592854917
Auxerre,529,33499,47,43.002153345383704,35,32.92556400317699,380,295,66,4,43,39.20167773310095,123.97569862380624,76.24392998311669
Brest,494,32465,49,50.56095021869987,29,32.25173414405435,390,287,63,3,42,43.72009403910488,106.81310706585646,60.78015250712633
Le_Havre,495,32012,37,44.85410187672824,18,25.080860920250416,325,216,53,3,28,37.253150411881506,97.76145144551992,58.993503984995186
Lens,517,32206,40,60.282526064664125,26,38.73740663938224,488,358,79,8,35,56.482050431892276,171.63883133232594,101.8968600500375
Lille,530,33661,52,61.22639933601022,29,39.332122965715826,434,317,74,2,45,53.62544802390039,195.00388912577182,126.24370584636927
Lyon,513,33653,62,66.06792542804033,46,48.28628159221262,443,353,60,0,54,58.46697403956205,225.48344344925135,149.70992693211883
Marseille,484,31205,61,62.88211623206735,47,43.885301599279046,431,349,52,6,53,55.28116463124752,225.03181388229132,153.24520785920322
Monaco,527,33578,63,77.8953237105161,49,59.159246229566634,498,386,56,4,57,72.57465776242316,238.9213619567454,134.31664287578315
Montpellier,503,32053,21,36.08724191924557,13,25.691556615754962,346,251,78,6,18,33.04686132678762,89.42910264339298,49.98138029035181
Nantes,520,32766,38,44.7231608806178,27,32.319877564907074,344,255,69,4,33,40.922685279510915,126.57037390582263,71.49503387976438
Nice,519,32728,62,70.29737325757742,42,46.55273878015578,475,345,54,5,56,65.73680244386196,201.39428163692355,118.43854483868927
Paris_Saint_Germain,518,33664,90,104.72387836035341,70,82.3922102516517,637,522,37,0,84,99.40321227069944,405.29169405438006,270.7098508151248
Reims,522,33521,32,41.98635154310614,19,28.27153518423438,396,277,62,6,31,40.46616128925234,124.37652521580458,71.09879001323134
Rennes,439,28309,44,46.95633505564183,27,29.596509139984846,362,284,58,2,39,40.87557391356677,133.8660820852965,80.81815707869828
Saint-Etienne,516,33540,39,41.71507830778137,28,29.04803556855768,370,277,63,3,36,38.67469778517261,120.7572036772035,73.1516945194453
Strasbourg,485,32380,54,54.73515820223838,42,41.769996389746666,353,269,67,3,52,53.214967963285744,172.93068308196962,107.39628398418427
Toulouse,514,33504,43,55.49791549704969,34,38.644749676808715,402,300,54,3,40,52.45753491204232,148.40765948593616,89.95816601347178
