team_title,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
AC_Milan,526,35158,55,60.045533230528235,39,47.61801210232079,518,418,66,6,52,55.477740339934826,214.57950333785266,147.19200334791094
Atalanta,540,34258,71,77.23024914041162,43,51.448910378851,503,380,58,1,66,71.90115719288588,230.76148370467126,148.9957164954394
Bologna,549,34751,54,55.97743958607316,41,38.154444670304656,492,349,51,4,48,50.64834763854742,144.51585799548775,82.90844900067896
Cagliari,569,34751,38,49.458916859235615,31,37.2513554058969,423,300,62,3,35,47.17502039624378,132.08760588103905,73.73612615838647
Como,573,35939,41,47.78247930854559,37,37.45971911866218,500,388,75,7,41,46.25988167524338,139.37716525048018,83.5252669993788
Empoli,577,36810,30,36.08871919987723,21,25.92452436638996,353,259,65,5,28,33.804822634439915,97.82870748499408,54.58440440520644
Fiorentina,485,32437,55,49.87199314776808,35,30.99688956514001,367,275,66,2,49,43.78160253632814,131.46938583999872,76.31217037048191
Genoa,574,36788,33,39.32499880855903,27,28.923767967149615,380,282,68,1,33,37.80240119760856,110.33396133547649,69.08119222614914
Inter,593,37155,75,77.62043139431626,56,53.538649328053,570,422,50,1,67,70.76874195691198,228.59329882450402,145.90458343131468
Juventus,565,37002,56,58.16072587110102,40,41.62041657231748,503,387,61,3,50,53.59293322078884,186.6578887552023,121.56459151860327
Lazio,575,37041,60,66.06638613529503,43,45.175431460142136,532,403,87,6,54,60.73729430325329,185.94295254722238,117.34446316491812
Lecce,571,36822,26,36.050459660589695,21,26.193400653079152,444,311,55,6,24,33.766563177108765,100.39572271518409,56.9676718628034
Monza,435,27045,19,20.615936938673258,16,17.387032078579068,212,186,61,1,16,18.332040432840586,69.55097998585552,45.070614049211144
Napoli,559,37174,56,58.18599290959537,42,41.958148669451475,502,386,45,0,52,54.379498748108745,189.43509158771485,124.90521197300404
Parma_Calcio_1913,584,36376,42,48.30976011790335,31,34.643563768826425,417,314,68,6,36,42.98066835105419,133.50755494460464,76.20030604116619
Roma,554,35659,48,60.0871870550327,32,39.730993557721376,492,358,60,1,40,53.99679637653753,181.71881698723882,125.44532363954931
Torino,535,33470,36,36.297245033085346,21,20.6599985351786,363,235,68,3,34,33.252049803733826,89.05776826106012,52.38691585417837
Udinese,599,37413,41,45.746576692909,28,31.424652252346277,433,315,82,5,39,42.70138147100806,110.44121852889657,62.97090756427497
Venezia,569,35391,30,38.70579543709755,15,25.54830303695053,364,258,65,2,26,34.899301229044795,88.71447106730193,45.67285546846688
Verona,576,35777,31,38.54657555790618,18,26.93142525712028,368,261,82,8,29,37.02397791715339,99.18717069644481,51.475593484938145
