,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27746,h,1,2,2,1.31571,1.54312
1,27758,a,0,0,4,0.641534,3.09376
2,27767,h,3,3,1,2.61475,0.49314
3,27769,h,0,2,3,2.79562,1.25788
4,27783,a,0,0,4,1.07415,2.81593
5,27790,h,3,2,1,1.75524,0.807021
6,27800,a,0,1,3,0.868723,1.07588
7,27809,h,3,2,1,0.560509,0.776944
8,27820,a,1,1,1,0.499473,1.11324
9,27827,h,1,0,0,0.970329,0.415649
10,27834,a,0,0,3,0.149096,4.02659
11,27846,h,3,1,0,2.15529,0.250706
12,27858,a,1,2,2,1.17089,1.53465
13,27863,h,0,0,2,0.43671,1.02095
14,27876,a,0,1,5,1.13064,2.48595
15,27882,h,0,0,1,0.339144,2.61617
16,27892,a,3,2,0,1.41902,0.549286
17,27900,a,3,2,0,1.31644,1.15183
18,27911,h,3,2,1,1.63821,0.94738
19,27915,a,1,1,1,0.194891,0.849878
20,27928,a,1,0,0,0.260742,1.99994
21,27936,h,1,0,0,1.05445,1.6452
22,27947,a,3,3,0,1.73915,0.800003
23,27954,h,1,0,0,2.222,0.799243
24,27960,a,3,1,0,0.250168,1.11055
25,27971,h,3,1,0,0.598968,0.763636
26,27983,a,1,1,1,0.688621,1.94509
27,27989,h,0,1,3,0.567653,1.91653
28,28001,a,3,2,1,1.02536,1.86097
29,28008,h,1,0,0,1.14215,1.39546
30,28012,a,0,0,2,0.640893,1.03782
31,28025,h,0,1,3,3.93001,2.10407
32,28031,a,0,0,4,0.381838,4.97233
33,28044,h,0,1,2,1.57932,1.14135
