,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27742,a,3,3,2,3.23588,1.51665
1,27757,h,0,2,3,3.42266,1.50532
2,27761,a,3,4,1,3.41829,1.06356
3,27775,h,3,4,3,1.71874,0.836406
4,27784,a,1,1,1,0.0870163,1.19457
5,27794,h,1,2,2,2.5839,1.98438
6,27796,h,3,2,1,4.07146,1.55158
7,27808,a,1,2,2,1.30852,1.78808
8,27814,h,1,0,0,2.78287,0.223778
9,27830,a,1,1,1,1.40554,0.777554
10,27832,h,3,5,2,2.02581,1.03141
11,27848,a,3,2,1,0.906684,1.11328
12,27850,h,3,2,1,0.729523,2.18395
13,27863,a,3,2,0,1.02095,0.43671
14,27868,h,3,5,1,3.25968,1.34161
15,27878,a,3,3,2,1.8834,1.48663
16,27886,h,3,1,0,1.99412,0.603471
17,27895,h,3,3,1,2.08382,0.473935
18,27904,a,1,2,2,2.57674,0.708246
19,27916,h,3,3,1,1.35418,1.94944
20,27927,a,1,0,0,1.66317,0.895017
21,27931,h,1,0,0,2.55729,0.0720406
22,27948,a,3,2,0,2.55557,0.494995
23,27951,a,3,4,1,2.37018,1.00046
24,27958,h,0,0,2,1.36325,1.67701
25,27967,a,3,4,3,2.07439,2.85024
26,27976,h,3,3,1,2.08076,0.702152
27,27986,a,3,1,0,0.367393,1.30234
28,27994,h,1,0,0,0.495489,0.513825
29,28011,a,1,1,1,1.13491,2.3164
30,28012,h,3,2,0,1.03782,0.640893
31,28024,a,1,2,2,0.227838,0.904468
32,28030,h,0,2,4,1.90473,1.39477
33,28045,a,1,2,2,1.33572,2.89903
