,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27749,a,3,3,2,2.17538,2.08125
1,27759,h,3,2,0,1.62797,0.970892
2,27766,a,3,6,1,4.13442,0.299776
3,27773,a,3,5,0,3.34451,0
4,27784,h,1,1,1,1.19457,0.0870163
5,27787,a,1,3,3,2.83119,1.49515
6,27797,h,3,4,0,3.61889,0.286656
7,27812,a,3,5,0,3.1499,0.205046
8,27815,h,3,3,0,2.76181,0.4664
9,27831,a,3,1,0,1.67296,0.0751538
10,27834,h,3,3,0,4.02659,0.149096
11,27842,a,1,1,1,1.83117,0.55981
12,27857,h,3,4,2,3.08538,1.16879
13,27864,a,0,1,2,0.992002,1.64219
14,27870,h,3,5,1,4.35715,0.552564
15,27884,a,3,1,0,4.47736,0.326195
16,27888,h,3,5,0,3.80458,0.222965
17,27897,h,3,3,2,3.23282,0.702414
18,27912,a,3,2,1,0.787581,0.271308
19,27918,h,3,4,3,4.93236,2.05752
20,27922,h,3,3,0,4.47713,0.151051
21,27931,a,1,0,0,0.0720406,2.55729
22,27940,h,3,4,0,4.48699,0.49278
23,27949,a,3,3,1,2.29942,0.653703
24,27959,h,0,2,3,2.72891,1.36274
25,27973,a,1,1,1,1.83549,0.8044
26,27977,h,3,3,2,4.00213,0.841269
27,27989,a,3,3,1,1.91653,0.567653
28,27996,h,1,2,2,2.94706,1.71681
29,28005,a,3,4,0,3.54191,0.529774
30,28014,h,3,3,0,1.70143,0.923874
31,28021,a,1,3,3,1.97214,1.74905
32,28032,h,3,2,0,2.78307,1.35544
33,28041,a,3,4,0,2.21427,0.661398
