,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27743,a,0,0,1,1.31541,0.937134
1,27752,h,0,0,2,0.918629,2.66887
2,27762,a,0,1,2,1.10732,3.95617
3,27771,h,1,2,2,1.32383,2.26878
4,27778,a,0,2,4,1.02915,4.1712
5,27792,h,0,1,3,2.28586,2.37344
6,27799,a,0,1,3,2.3454,2.46268
7,27812,h,0,0,5,0.205046,3.1499
8,27817,a,0,2,7,2.08714,3.83028
9,27830,h,1,1,1,0.777554,1.40554
10,27833,a,0,0,2,0.652259,2.05767
11,27846,a,0,0,1,0.250706,2.15529
12,27855,h,0,0,1,1.16256,1.20754
13,27866,a,1,1,1,1.23723,3.0131
14,27875,h,3,2,0,1.68369,0.512353
15,27883,a,0,0,2,0.697735,1.7238
16,27893,h,3,1,0,1.8213,1.15308
17,27902,h,1,3,3,2.75969,2.38567
18,27908,a,0,0,3,0.759449,2.93153
19,27914,h,0,0,1,0.843049,3.33243
20,27930,a,1,2,2,2,2
21,27938,h,3,2,0,3.3688,2.70519
22,27945,a,1,1,1,1.46609,2.16138
23,27957,h,0,0,1,1.4452,0.525952
24,27959,a,3,3,2,1.36274,2.72891
25,27974,h,0,1,3,1.88062,3.29403
26,27976,a,0,1,3,0.702152,2.08076
27,27992,h,0,0,4,0.815791,2.64663
28,28001,h,0,1,2,1.86097,1.02536
29,28006,a,0,0,1,0.4947,2.70919
30,28019,h,1,1,1,1.5178,0.498974
31,28023,a,1,0,0,1.81311,0.463987
32,28037,h,0,1,4,0.734972,2.48765
33,28047,a,3,2,0,1.34252,0.802748
