,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27748,h,3,2,0,1.9263,1.15188
1,27753,a,1,0,0,0.918302,0.278533
2,27760,h,3,4,2,2.84066,1.61406
3,27776,a,0,1,5,0.60692,3.56218
4,27778,h,3,4,2,4.1712,1.02915
5,27791,a,0,1,2,0.748758,1.52691
6,27798,h,3,2,1,3.97161,1.07012
7,27809,a,0,1,2,0.776944,0.560509
8,27816,h,3,2,1,3.30102,0.23928
9,27828,a,0,1,3,0.845107,3.18749
10,27835,h,3,4,0,1.49974,1.1957
11,27842,h,1,1,1,0.55981,1.83117
12,27854,a,1,1,1,1.58856,1.10194
13,27860,h,1,1,1,0.433347,1.31436
14,27874,a,3,3,1,2.4116,1.95337
15,27878,h,0,2,3,1.48663,1.8834
16,27894,a,0,2,4,1.16391,1.95929
17,27898,a,0,0,2,0.57641,2.05106
18,27905,h,1,2,2,1.49423,1.11662
19,27920,a,3,2,1,2.68284,0.525888
20,27924,h,0,1,2,1.07063,0.452825
21,27938,a,0,0,2,2.70519,3.3688
22,27942,h,3,6,0,5.44112,0.365382
23,27956,a,3,2,0,2.23846,0.293506
24,27960,h,0,0,1,1.11055,0.250168
25,27968,a,0,0,2,4.09542,2.55875
26,27979,h,3,3,1,2.69722,0.654443
27,27988,a,3,4,1,3.55487,2.02793
28,27996,a,1,2,2,1.71681,2.94706
29,28004,h,3,3,2,1.18456,1.2185
30,28016,a,3,3,2,2.41526,1.19025
31,28022,h,3,4,0,2.54996,1.3634
32,28030,a,3,4,2,1.39477,1.90473
33,28040,h,3,3,0,2.56073,0.574499
