,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27742,h,0,2,3,1.51665,3.23588
1,27752,a,3,2,0,2.66887,0.918629
2,27765,h,0,1,3,2.05136,2.7214
3,27774,a,0,0,2,1.19669,2.93252
4,27782,h,3,1,0,1.38305,0.731164
5,27790,a,0,1,2,0.807021,1.75524
6,27803,h,3,3,2,4.14976,1.89766
7,27810,a,1,1,1,0.934033,1.45557
8,27821,h,3,4,1,2.95668,1.30211
9,27824,a,1,0,0,1.31521,0.849803
10,27839,h,3,2,0,2.99128,1.15234
11,27845,a,0,1,3,1.27811,2.15426
12,27854,h,1,1,1,1.10194,1.58856
13,27865,h,3,4,1,2.33425,0.323948
14,27872,a,3,2,1,0.490494,3.7229
15,27884,h,0,0,1,0.326195,4.47736
16,27891,a,0,1,5,0.856948,3.72762
17,27895,a,0,1,3,0.473935,2.08382
18,27908,h,3,3,0,2.93153,0.759449
19,27917,a,3,2,1,1.96971,0.950734
20,27929,h,1,1,1,0.656491,2.5487
21,27937,a,3,2,1,2.22036,1.66824
22,27947,h,0,0,3,0.800003,1.73915
23,27952,a,3,3,0,1.7158,1.87707
24,27965,h,0,1,3,1.25544,1.98889
25,27970,a,3,4,2,2.32056,2.98283
26,27980,h,3,1,0,1.79539,0.929047
27,27993,a,1,1,1,0.646648,2.19443
28,28000,h,0,1,2,0.524784,2.31704
29,28004,a,0,2,3,1.2185,1.18456
30,28020,a,0,3,4,2.55098,3.0385
31,28027,h,1,4,4,1.91833,1.91093
32,28032,a,0,0,2,1.35544,2.78307
33,28046,h,0,0,1,0.744546,1.5757
