,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27748,a,0,0,2,1.15188,1.9263
1,27756,h,3,3,1,2.68507,0.832386
2,27764,a,3,2,1,2.86858,1.23249
3,27774,h,3,2,0,2.93252,1.19669
4,27785,a,3,4,2,2.43436,1.02971
5,27787,h,1,3,3,1.49515,2.83119
6,27796,a,0,1,2,1.55158,4.07146
7,27811,a,1,1,1,1.54058,1.86305
8,27817,h,3,7,2,3.83028,2.08714
9,27823,a,3,3,2,1.93894,2.81862
10,27836,h,3,1,0,1.47057,0.632819
11,27843,a,3,4,0,3.19019,0.861094
12,27858,h,1,2,2,1.53465,1.17089
13,27859,a,0,1,2,0.839379,2.4958
14,27871,h,0,1,3,2.58915,0.753285
15,27885,a,3,1,0,2.23689,2.5542
16,27889,h,3,4,1,2.82238,0.587762
17,27898,h,3,2,0,2.05106,0.57641
18,27906,a,1,2,2,2.30325,2.32141
19,27919,h,1,1,1,1.69604,1.46292
20,27929,a,1,1,1,2.5487,0.656491
21,27933,h,3,3,1,3.02527,1.26559
22,27940,a,0,0,4,0.49278,4.48699
23,27951,h,0,1,4,1.00046,2.37018
24,27961,h,0,1,2,2.00811,0.725817
25,27974,a,3,3,1,3.29403,1.88062
26,27978,h,3,1,0,3.69196,0.863163
27,27987,a,0,0,2,0.515073,1.22711
28,27997,h,3,3,0,3.64515,1.28841
29,28008,a,1,0,0,1.39546,1.14215
30,28015,h,3,4,0,2.23942,0.316263
31,28026,a,1,1,1,1.3876,1.64254
32,28033,h,1,2,2,1.82027,0.666882
33,28043,a,3,3,1,2.61814,1.14001
