,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27750,a,3,2,0,1.16833,1.1609
1,27758,h,3,4,0,3.09376,0.641534
2,27760,a,0,2,4,1.61406,2.84066
3,27772,h,0,0,3,0.379656,1.23884
4,27781,a,3,2,0,1.09304,0.371434
5,27788,h,0,0,1,1.08159,1.81585
6,27803,a,0,2,3,1.89766,4.14976
7,27807,h,1,0,0,1.57817,0.692793
8,27822,a,0,0,1,1.27585,2.13316
9,27825,h,0,1,3,2.62448,1.55233
10,27832,a,0,2,5,1.03141,2.02581
11,27843,h,0,0,4,0.861094,3.19019
12,27857,a,0,2,4,1.16879,3.08538
13,27861,h,0,1,3,0.808275,3.46171
14,27875,a,0,0,2,0.512353,1.68369
15,27880,h,3,2,0,1.75563,1.03435
16,27890,a,1,3,3,1.91878,1.87497
17,27899,h,0,0,2,0.923964,2.23242
18,27911,a,0,1,2,0.94738,1.63821
19,27920,h,0,1,2,0.525888,2.68284
20,27926,a,0,0,1,0.434356,1.33195
21,27934,h,0,0,2,0.545205,1.94932
22,27941,a,1,2,2,0.834882,1.6451
23,27952,h,0,0,3,1.87707,1.7158
24,27962,a,1,1,1,2.31324,1.78028
25,27969,h,3,3,1,1.6572,1.14988
26,27981,a,3,1,0,1.31407,1.23886
27,27986,h,0,0,1,1.30234,0.367393
28,27997,a,0,0,3,1.28841,3.64515
29,28005,h,0,0,4,0.529774,3.54191
30,28013,a,3,1,0,0.522621,1.91698
31,28023,h,1,0,0,0.463987,1.81311
32,28036,a,3,3,0,1.86184,0.528885
33,28042,h,0,1,4,1.75706,2.20606
