,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27745,h,3,3,1,3.0149,0.374185
1,27759,a,0,0,2,0.970892,1.62797
2,27762,h,3,2,1,3.95617,1.10732
3,27772,a,3,3,0,1.23884,0.379656
4,27779,h,0,0,3,1.10172,1.40925
5,27789,a,3,1,0,1.58065,0.879674
6,27800,h,3,3,1,1.07588,0.868723
7,27806,a,0,1,3,1.75887,2.69047
8,27819,h,1,0,0,0.463898,0.903716
9,27829,a,1,0,0,2.66619,0.801684
10,27835,a,0,0,4,1.1957,1.49974
11,27845,h,3,3,1,2.15426,1.27811
12,27852,a,1,1,1,1.53138,1.49449
13,27862,h,3,3,2,2.96777,1.85123
14,27868,a,0,1,5,1.34161,3.25968
15,27881,h,3,3,2,0.750017,1.66855
16,27889,a,0,1,4,0.587762,2.82238
17,27896,a,0,0,4,0.187694,2.26605
18,27912,h,0,1,2,0.271308,0.787581
19,27914,a,3,1,0,3.33243,0.843049
20,27926,h,3,1,0,1.33195,0.434356
21,27939,a,3,1,0,1.25072,0.19059
22,27944,h,3,5,0,2.66243,1.25462
23,27954,a,1,0,0,0.799243,2.222
24,27963,h,1,0,0,0.510953,2.02806
25,27972,a,1,2,2,2.93264,1.33307
26,27982,h,0,1,2,1.01023,1.38632
27,27988,h,0,1,4,2.02793,3.55487
28,28000,a,3,2,1,2.31704,0.524784
29,28007,h,3,3,2,1.54968,1.94701
30,28018,a,3,1,0,1.95821,0.288019
31,28024,h,1,2,2,0.904468,0.227838
32,28038,a,3,2,1,2.01558,0.974297
33,28043,h,0,1,3,1.14001,2.61814
