,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27744,h,3,3,2,3.73706,1.97238
1,27756,a,0,1,3,0.832386,2.68507
2,27761,h,0,1,4,1.06356,3.41829
3,27770,a,0,1,2,0.378776,1.21587
4,27786,h,0,3,4,1.78654,4.06917
5,27795,a,1,1,1,0.893468,1.72567
6,27799,h,3,3,1,2.46268,2.3454
7,27807,a,1,0,0,0.692793,1.57817
8,27818,h,0,0,2,0.746379,1.1155
9,27827,a,1,0,0,0.415649,0.970329
10,27837,h,3,4,3,2.60143,1.72976
11,27847,a,0,0,2,0.814599,2.62793
12,27852,h,1,1,1,1.49449,1.53138
13,27860,a,1,1,1,1.31436,0.433347
14,27872,h,0,1,2,3.7229,0.490494
15,27879,h,0,0,1,1.18042,1.49127
16,27888,a,0,0,5,0.222965,3.80458
17,27903,a,3,3,1,0.905544,0.908525
18,27906,h,1,2,2,2.32141,2.30325
19,27916,a,0,1,3,1.94944,1.35418
20,27925,h,0,0,4,0.881646,3.86589
21,27935,a,3,3,1,1.91874,0.85665
22,27943,h,1,1,1,0.705815,3.67099
23,27957,a,3,1,0,0.525952,1.4452
24,27962,h,1,1,1,1.78028,2.31324
25,27975,a,0,0,1,0.196271,1.43518
26,27983,h,1,1,1,1.94509,0.688621
27,27985,a,0,1,3,1.18624,1.40121
28,27998,h,3,2,0,1.42393,0.969601
29,28007,a,0,2,3,1.94701,1.54968
30,28016,h,0,2,3,1.19025,2.41526
31,28027,a,1,4,4,1.91093,1.91833
32,28035,a,1,2,2,1.10881,1.36763
33,28041,h,0,0,4,0.661398,2.21427
