,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27744,a,0,2,3,1.97238,3.73706
1,27754,h,0,0,2,0.89489,1.4619
2,27766,h,0,1,6,0.299776,4.13442
3,27771,a,1,2,2,2.26878,1.32383
4,27785,h,0,2,4,1.02971,2.43436
5,27794,a,1,2,2,1.98438,2.5839
6,27804,h,0,0,2,0.901058,1.2809
7,27805,a,0,1,2,0.680092,1.90999
8,27822,h,3,1,0,2.13316,1.27585
9,27826,a,0,1,2,0.884231,2.26129
10,27840,h,0,0,3,0.346026,2.13631
11,27849,a,0,1,3,1.1506,1.96179
12,27856,h,0,0,2,1.14963,1.72704
13,27865,a,0,1,4,0.323948,2.33425
14,27876,h,3,5,1,2.48595,1.13064
15,27881,a,0,2,3,1.66855,0.750017
16,27894,h,3,4,2,1.95929,1.16391
17,27903,h,0,1,3,0.908525,0.905544
18,27910,a,1,2,2,0.265769,2.52045
19,27918,a,0,3,4,2.05752,4.93236
20,27930,h,1,2,2,2,2
21,27933,a,0,1,3,1.26559,3.02527
22,27948,h,0,0,2,0.494995,2.55557
23,27955,a,3,1,0,0.692509,0.886081
24,27966,h,1,2,2,1.97246,1.0726
25,27969,a,0,1,3,1.14988,1.6572
26,27984,h,0,0,3,0.56476,1.48157
27,27990,a,1,1,1,1.66267,1.65205
28,28002,h,0,1,2,0.692664,1.06614
29,28003,a,1,1,1,1.017,2.16761
30,28020,h,3,4,3,3.0385,2.55098
31,28025,a,3,3,1,2.10407,3.93001
32,28038,h,0,1,2,0.974297,2.01558
33,28040,a,0,0,3,0.574499,2.56073
