,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27747,h,1,1,1,1.77023,0.731569
1,27755,a,1,3,3,1.95179,4.2134
2,27768,h,0,1,2,1.67115,1.8089
3,27769,a,3,3,2,1.25788,2.79562
4,27781,h,0,0,2,0.371434,1.09304
5,27793,a,3,3,0,1.29606,0.805413
6,27802,h,0,0,2,0.611288,2.16084
7,27810,h,1,1,1,1.45557,0.934033
8,27819,a,1,0,0,0.903716,0.463898
9,27828,h,3,3,1,3.18749,0.845107
10,27840,a,3,3,0,2.13631,0.346026
11,27847,h,3,2,0,2.62793,0.814599
12,27853,a,0,3,4,3.02237,1.48692
13,27864,h,3,2,1,1.64219,0.992002
14,27871,a,3,3,1,0.753285,2.58915
15,27883,h,3,2,0,1.7238,0.697735
16,27886,a,0,0,1,0.603471,1.99412
17,27901,a,0,1,2,1.40424,2.44953
18,27909,h,3,2,0,2.22883,0.917385
19,27921,a,0,0,1,1.01597,2.58542
20,27928,h,1,0,0,1.99994,0.260742
21,27934,a,3,2,0,1.94932,0.545205
22,27946,h,3,2,0,1.35603,0.90068
23,27950,a,3,2,1,1.64735,1.78404
24,27965,a,3,3,1,1.98889,1.25544
25,27972,h,1,2,2,1.33307,2.93264
26,27979,a,0,1,3,0.654443,2.69722
27,27990,h,1,1,1,1.65205,1.66267
28,27998,a,0,0,2,0.969601,1.42393
29,28009,h,1,2,2,2.68235,1.80796
30,28014,a,0,0,3,0.923874,1.70143
31,28026,h,1,1,1,1.64254,1.3876
32,28037,a,3,4,1,2.48765,0.734972
33,28045,h,1,2,2,2.89903,1.33572
