,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27743,h,3,1,0,0.937134,1.31541
1,27757,a,3,3,2,1.50532,3.42266
2,27763,h,1,0,0,1.29462,0.859112
3,27777,a,1,0,0,0.841324,1.67285
4,27783,h,3,4,0,2.81593,1.07415
5,27788,a,3,1,0,1.81585,1.08159
6,27802,a,3,2,0,2.16084,0.611288
7,27806,h,3,3,1,2.69047,1.75887
8,27816,a,0,1,2,0.23928,3.30102
9,27824,h,1,0,0,0.849803,1.31521
10,27837,a,0,3,4,1.72976,2.60143
11,27841,h,0,1,5,1.4486,2.69881
12,27856,a,3,2,0,1.72704,1.14963
13,27859,h,3,2,1,2.4958,0.839379
14,27870,a,0,1,5,0.552564,4.35715
15,27877,h,3,4,2,2.65039,1.32687
16,27887,a,0,1,2,0.710278,2.42754
17,27902,a,1,3,3,2.38567,2.75969
18,27904,h,1,2,2,0.708246,2.57674
19,27913,a,1,0,0,0.237923,1.74847
20,27923,h,3,2,0,1.89601,0.72321
21,27936,a,1,0,0,1.6452,1.05445
22,27941,h,1,2,2,1.6451,0.834882
23,27950,h,0,1,2,1.78404,1.64735
24,27963,a,1,0,0,2.02806,0.510953
25,27968,h,3,2,0,2.55875,4.09542
26,27980,a,0,0,1,0.929047,1.79539
27,27985,h,3,3,1,1.40121,1.18624
28,27999,a,3,3,2,1.60065,1.84361
29,28003,h,1,1,1,2.16761,1.017
30,28015,a,0,0,4,0.316263,2.23942
31,28021,h,1,3,3,1.74905,1.97214
32,28034,a,1,0,0,1.39403,3.20616
33,28039,h,0,2,3,1.42373,3.34624
