,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27750,h,0,0,2,1.1609,1.16833
1,27751,a,0,0,1,0.644857,1.0488
2,27767,a,0,1,3,0.49314,2.61475
3,27777,h,1,0,0,1.67285,0.841324
4,27779,a,3,3,0,1.40925,1.10172
5,27793,h,0,0,3,0.805413,1.29606
6,27798,a,0,1,2,1.07012,3.97161
7,27813,h,1,0,0,0.730167,0.940969
8,27818,a,3,2,0,1.1155,0.746379
9,27831,h,0,0,1,0.0751538,1.67296
10,27839,a,0,0,2,1.15234,2.99128
11,27849,h,3,3,1,1.96179,1.1506
12,27850,a,0,1,2,2.18395,0.729523
13,27867,h,0,0,2,0.515437,0.986101
14,27869,a,3,1,0,2.57781,2.41593
15,27885,h,0,0,1,2.5542,2.23689
16,27893,a,0,0,1,1.15308,1.8213
17,27899,a,3,2,0,2.23242,0.923964
18,27907,h,3,3,0,1.40358,0.986402
19,27915,h,1,1,1,0.849878,0.194891
20,27923,a,0,0,2,0.72321,1.89601
21,27939,h,0,0,1,0.19059,1.25072
22,27946,a,0,0,2,0.90068,1.35603
23,27956,h,0,0,2,0.293506,2.23846
24,27964,a,1,1,1,1.23696,1.96602
25,27975,h,3,1,0,1.43518,0.196271
26,27977,a,0,2,3,0.841269,4.00213
27,27993,h,1,1,1,2.19443,0.646648
28,28002,a,3,2,1,1.06614,0.692664
29,28011,h,1,1,1,2.3164,1.13491
30,28017,a,1,0,0,0.830832,1.55064
31,28029,h,0,0,1,0.213208,3.56335
32,28033,a,1,2,2,0.666882,1.82027
33,28047,h,0,0,2,0.802748,1.34252
