,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27747,a,1,1,1,0.731569,1.77023
1,27751,h,3,1,0,1.0488,0.644857
2,27763,a,1,0,0,0.859112,1.29462
3,27770,h,3,2,1,1.21587,0.378776
4,27782,a,0,0,1,0.731164,1.38305
5,27791,h,3,2,1,1.52691,0.748758
6,27804,a,3,2,0,1.2809,0.901058
7,27811,h,1,1,1,1.86305,1.54058
8,27815,a,0,0,3,0.4664,2.76181
9,27829,h,1,0,0,0.801684,2.66619
10,27838,a,0,0,1,0.63337,0.742754
11,27848,h,0,1,2,1.11328,0.906684
12,27851,a,0,2,3,1.86301,1.81349
13,27866,h,1,1,1,3.0131,1.23723
14,27873,a,0,1,4,1.64107,2.73356
15,27880,a,0,0,2,1.03435,1.75563
16,27892,h,0,0,2,0.549286,1.41902
17,27901,h,3,2,1,2.44953,1.40424
18,27907,a,0,0,3,0.986402,1.40358
19,27913,h,1,0,0,1.74847,0.237923
20,27925,a,3,4,0,3.86589,0.881646
21,27937,h,0,1,2,1.66824,2.22036
22,27942,a,0,0,6,0.365382,5.44112
23,27955,h,0,0,1,0.886081,0.692509
24,27961,a,3,2,1,0.725817,2.00811
25,27973,h,1,1,1,0.8044,1.83549
26,27982,a,3,2,1,1.38632,1.01023
27,27991,h,3,1,0,1.55071,1.79618
28,27994,a,1,0,0,0.513825,0.495489
29,28010,h,1,4,4,2.16124,1.19
30,28019,a,1,1,1,0.498974,1.5178
31,28028,h,1,2,2,1.35336,1.35783
32,28036,h,0,0,3,0.528885,1.86184
33,28044,a,3,2,1,1.14135,1.57932
