,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27745,a,0,1,3,0.374185,3.0149
1,27755,h,1,3,3,4.2134,1.95179
2,27765,a,3,3,1,2.7214,2.05136
3,27776,h,3,5,1,3.56218,0.60692
4,27780,a,1,2,2,2.58036,1.0386
5,27795,h,1,1,1,1.72567,0.893468
6,27797,a,0,0,4,0.286656,3.61889
7,27805,h,3,2,1,1.90999,0.680092
8,27814,a,1,0,0,0.223778,2.78287
9,27823,h,0,2,3,2.81862,1.93894
10,27833,h,3,2,0,2.05767,0.652259
11,27844,a,1,2,2,1.6651,2.14949
12,27851,h,3,3,2,1.81349,1.86301
13,27861,a,3,3,1,3.46171,0.808275
14,27869,h,0,0,1,2.41593,2.57781
15,27882,a,3,1,0,2.61617,0.339144
16,27887,h,3,2,1,2.42754,0.710278
17,27896,h,3,4,0,2.26605,0.187694
18,27909,a,0,0,2,0.917385,2.22883
19,27917,h,0,1,2,0.950734,1.96971
20,27924,a,3,2,1,0.452825,1.07063
21,27932,h,0,1,2,1.22466,1.75731
22,27943,a,1,1,1,3.67099,0.705815
23,27949,h,0,1,3,0.653703,2.29942
24,27966,a,1,2,2,1.0726,1.97246
25,27967,h,0,3,4,2.85024,2.07439
26,27978,a,0,0,1,0.863163,3.69196
27,27992,a,3,4,0,2.64663,0.815791
28,27995,h,0,1,2,1.75437,1.65438
29,28010,a,1,4,4,1.19,2.16124
30,28013,h,0,0,1,1.91698,0.522621
31,28029,a,3,1,0,3.56335,0.213208
32,28031,h,3,4,0,4.97233,0.381838
33,28039,a,3,3,2,3.34624,1.42373
