,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27746,a,1,2,2,1.54312,1.31571
1,27753,h,1,0,0,0.278533,0.918302
2,27768,a,3,2,1,1.8089,1.67115
3,27773,h,0,0,5,0,3.34451
4,27786,a,3,4,3,4.06917,1.78654
5,27789,h,0,0,1,0.879674,1.58065
6,27801,a,3,4,2,2.14788,2.17351
7,27808,h,1,2,2,1.78808,1.30852
8,27821,a,0,1,4,1.30211,2.95668
9,27826,h,3,2,1,2.26129,0.884231
10,27836,a,0,0,1,0.632819,1.47057
11,27844,h,1,2,2,2.14949,1.6651
12,27855,a,3,1,0,1.20754,1.16256
13,27867,a,3,2,0,0.986101,0.515437
14,27873,h,3,4,1,2.73356,1.64107
15,27877,a,0,2,4,1.32687,2.65039
16,27890,h,1,3,3,1.87497,1.91878
17,27900,h,0,0,2,1.15183,1.31644
18,27905,a,1,2,2,1.11662,1.49423
19,27921,h,3,1,0,2.58542,1.01597
20,27922,a,0,0,3,0.151051,4.47713
21,27935,h,0,1,3,0.85665,1.91874
22,27944,a,0,0,5,1.25462,2.66243
23,27953,h,0,1,2,2.10317,1.11674
24,27958,a,3,2,0,1.67701,1.36325
25,27970,h,0,2,4,2.98283,2.32056
26,27984,a,3,3,0,1.48157,0.56476
27,27987,h,3,2,0,1.22711,0.515073
28,27995,a,3,2,1,1.65438,1.75437
29,28006,h,3,1,0,2.70919,0.4947
30,28017,h,1,0,0,1.55064,0.830832
31,28028,a,1,2,2,1.35783,1.35336
32,28034,h,1,0,0,3.20616,1.39403
33,28042,a,3,4,1,2.20606,1.75706
