,id,side,result,goals_for,goals_against,xG_for,xG_against
0,27749,h,0,2,3,2.08125,2.17538
1,27754,a,3,2,0,1.4619,0.89489
2,27764,h,0,1,2,1.23249,2.86858
3,27775,a,0,3,4,0.836406,1.71874
4,27780,h,1,2,2,1.0386,2.58036
5,27792,a,3,3,1,2.37344,2.28586
6,27801,h,0,2,4,2.17351,2.14788
7,27813,a,1,0,0,0.940969,0.730167
8,27820,h,1,1,1,1.11324,0.499473
9,27825,a,3,3,1,1.55233,2.62448
10,27838,h,3,1,0,0.742754,0.63337
11,27841,a,3,5,1,2.69881,1.4486
12,27853,h,3,4,3,1.48692,3.02237
13,27862,a,0,2,3,1.85123,2.96777
14,27874,h,0,1,3,1.95337,2.4116
15,27879,a,3,1,0,1.49127,1.18042
16,27891,h,3,5,1,3.72762,0.856948
17,27897,a,0,2,3,0.702414,3.23282
18,27910,h,1,2,2,2.52045,0.265769
19,27919,a,1,1,1,1.46292,1.69604
20,27927,h,1,0,0,0.895017,1.66317
21,27932,a,3,2,1,1.75731,1.22466
22,27945,h,1,1,1,2.16138,1.46609
23,27953,a,3,2,1,1.11674,2.10317
24,27964,h,1,1,1,1.96602,1.23696
25,27971,a,0,0,1,0.763636,0.598968
26,27981,h,0,0,1,1.23886,1.31407
27,27991,a,0,0,1,1.79618,1.55071
28,27999,h,0,2,3,1.84361,1.60065
29,28009,a,1,2,2,1.80796,2.68235
30,28018,h,0,0,1,0.288019,1.95821
31,28022,a,0,0,4,1.3634,2.54996
32,28035,h,1,2,2,1.36763,1.10881
33,28046,a,3,1,0,1.5757,0.744546
