position,team_title,points,points_h,points_a,goals_per90_h,goals_per90_a,against_per90_h,against_per90_a,xG_per90_h,xG_per90_a,xGa_per90_h,xGa_per90_a,points_pvalue,goals_for_pvalue,goals_against_pvalue,xG_for_pvalue,xG_against_pvalue
1,Bayern_Munich,82.0,44.0,38.0,3.1176470588235294,2.7058823529411766,0.9411764705882353,0.9411764705882353,3.28052,2.3087219764705886,0.7946045470588236,0.8517145176470589,0.3197971571732673,0.41389409488814954,1.0,0.017108828183467366,0.8077130383395533
2,Bayer_Leverkusen,69.0,34.0,35.0,2.1176470588235294,2.1176470588235294,1.2941176470588236,1.2352941176470589,2.086241294117647,1.621893605882353,1.0991747411764707,1.338131176470588,0.8832349133460267,1.0,0.8735856931996437,0.17462840849963934,0.32573999986161317
3,Eintracht_Frankfurt,60.0,34.0,26.0,2.411764705882353,1.588235294117647,1.2941176470588236,1.411764705882353,2.384559411764706,1.900436,1.1545762941176472,1.9617673529411765,0.29983791912362684,0.11490952337318416,0.765619783359385,0.11403322064431,0.014191393818118998
4,Borussia_Dortmund,57.0,36.0,21.0,2.588235294117647,1.588235294117647,1.1176470588235294,1.8823529411764706,2.252901,1.7905959411764707,1.019115117647059,1.8234232941176471,0.062451087223597344,0.04783524904955897,0.05337797509476439,0.2830015562380084,0.008762473822004659
5,Freiburg,55.0,30.0,25.0,1.8823529411764706,1.0,1.5294117647058822,1.588235294117647,1.5819749411764705,1.6273794705882354,1.3941105294117646,1.4175060588235293,0.5399223422018076,0.03516794462242913,0.9099082287358238,0.8901443408411395,0.9398620363775971
6,Mainz_05,52.0,26.0,26.0,1.411764705882353,1.8235294117647058,1.0588235294117647,1.4705882352941178,1.8149954117647058,1.468601176470588,1.2519542352941175,1.757160823529412,1.0,0.31677870631207694,0.2606988749861921,0.17094355496957864,0.10031590165677201
7,Werder_Bremen,51.0,21.0,30.0,1.2352941176470589,1.9411764705882353,1.5294117647058822,1.8235294117647058,1.7846233529411764,1.5249206470588235,1.4226028235294117,1.8311257058823527,0.2524137893086597,0.10947198591583468,0.5835321428276395,0.3989641747649668,0.1652683703637441
8,RasenBallsport_Leipzig,51.0,30.0,21.0,1.9411764705882353,1.1764705882352942,1.3529411764705883,1.4705882352941178,1.7950878235294117,1.283476411764706,1.681590176470588,2.104900058823529,0.22643219299195236,0.07633111274013159,0.8276327205769971,0.03749618376578083,0.23698631372926954
9,VfB_Stuttgart,50.0,23.0,27.0,2.0588235294117645,1.7058823529411764,1.588235294117647,1.5294117647058822,2.3255033529411766,1.8619142352941174,1.3365841176470585,1.769834882352941,0.6198143894549334,0.46681603141575345,0.8899168000252401,0.26611707789770794,0.19035178057509408
10,Borussia_M.Gladbach,45.0,24.0,21.0,1.7058823529411764,1.5294117647058822,1.5294117647058822,1.8235294117647058,1.731628176470588,1.412900529411765,1.835254588235294,2.1341056470588233,0.716650347532817,0.6885216711388239,0.531174296863778,0.3120559371910587,0.38152895487935656
11,Augsburg,43.0,23.0,20.0,1.0588235294117647,1.0,1.1764705882352942,1.8235294117647058,1.5103566470588234,0.7912722941176471,1.1702617058823528,1.9072762941176469,0.6956309412955224,0.8580276324164688,0.2014310624514178,0.010753287947515988,0.03522576601560997
12,Wolfsburg,43.0,16.0,27.0,1.588235294117647,1.7058823529411764,1.7647058823529411,1.411764705882353,1.6371023529411763,1.503095,1.635864117647059,1.7784794705882352,0.14511304056282384,0.7999333566328224,0.41265628632630724,0.5730146731994278,0.6205840652801555
13,Union_Berlin,41.0,22.0,19.0,1.1176470588235294,1.0,1.2941176470588236,1.6470588235294117,1.4284056470588233,1.1014649999999997,1.3022627647058822,1.734911588235294,0.6871748153200165,0.7603102806736598,0.47011394125546513,0.21795424919911566,0.18494709605163348
14,Hoffenheim,32.0,17.0,15.0,1.4705882352941178,1.2352941176470589,2.1176470588235294,1.8823529411764706,1.747369294117647,1.0125842941176468,2.1532215294117645,1.604561823529412,0.7711909819623501,0.5765000486939751,0.6241817065570536,0.01210085613517737,0.1051607818943648
15,St._Pauli,32.0,14.0,18.0,0.5882352941176471,1.0588235294117647,1.1176470588235294,1.2941176470588236,1.1279665176470588,1.1940258823529413,1.2851415294117647,1.8617070588235294,0.5847477404243704,0.1733358984451019,0.5944818159480718,0.7856827319889048,0.08204447345628736
16,FC_Heidenheim,29.0,11.0,18.0,0.7647058823529411,1.411764705882353,1.9411764705882353,1.8235294117647058,1.2803025294117647,1.246886588235294,1.8403723529411764,1.9441870000000003,0.3479436277409874,0.09789249990788318,0.8268616140055307,0.8856356641354808,0.760517082969064
17,Holstein_Kiel,25.0,14.0,11.0,1.411764705882353,1.4705882352941178,2.411764705882353,2.2941176470588234,1.2850406470588236,1.2777922352941176,1.787842,2.364346352941176,0.6577333719003642,0.8921108901262087,0.7758235089388126,0.9774324535056182,0.08933503709109994
18,Bochum,23.0,13.0,10.0,0.9411764705882353,0.9411764705882353,1.9411764705882353,2.0588235294117645,1.494433,1.215477117647059,1.9789052352941179,2.3638722941176473,0.6363682138054013,1.0,0.831578151875545,0.25790094263619057,0.2833358024657136
