,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26604,h,3,2,0,1.6283,0.575835
1,26618,a,3,2,0,1.41399,1.31664
2,26622,h,1,1,1,2.41798,1.81748
3,26640,a,3,1,0,1.1209,0.792595
4,26651,a,1,2,2,1.28411,2.75588
5,26655,h,3,4,2,6.05305,0.337909
6,26666,h,3,3,1,3.25165,1.27313
7,26680,a,0,0,2,0.740758,2.18419
8,26691,h,1,2,2,1.0883,1.35346
9,26694,a,0,0,1,0.911305,0.859715
10,26705,a,1,1,1,1.9605,1.24067
11,26714,h,3,3,0,1.66016,0.403136
12,26730,a,3,5,2,3.99935,1.23539
13,26733,h,3,2,0,2.96684,0.256083
14,26749,a,1,1,1,2.4333,0.150988
15,26755,h,1,0,0,1.30865,0.132166
16,26765,a,3,5,1,3.05434,1.6052
17,26773,h,3,1,0,2.16462,0.0783327
18,26783,a,3,3,1,1.99848,0.272604
19,26794,a,1,1,1,1.81142,1.76513
20,26802,h,3,2,1,2.25501,0.777071
21,26812,h,1,2,2,1.64458,1.20602
22,26831,a,3,1,0,0.887358,0.514724
23,26833,h,3,5,1,1.53202,0.743191
24,26846,a,3,2,0,1.75,0.233209
25,26853,h,0,0,1,1.37264,1.02684
26,26864,a,1,0,0,1.31766,0.508611
27,26877,a,1,1,1,1.82996,1.31107
28,26883,h,3,1,0,0.695725,0.286036
29,26892,h,3,2,1,2.30189,1.44206
30,26905,a,1,1,1,1.4031,1.22875
31,26913,h,1,1,1,0.767369,0.588583
32,26927,a,3,4,0,2.81362,0.192879
33,26933,h,1,2,2,1.92149,2.50515
34,26945,h,0,1,2,2.05484,1.41783
35,26952,a,1,2,2,2.18795,2.74682
36,26962,h,3,1,0,1.15958,2.24634
37,26977,a,3,2,1,2.40711,0.598144
