,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26608,a,3,2,1,2.6703,2.8047
1,26618,h,0,0,2,1.31664,1.41399
2,26626,a,3,2,1,2.16385,0.774741
3,26638,h,3,3,2,3.15876,0.852158
4,26647,h,3,3,1,2.37351,0.520117
5,26659,a,1,2,2,1.14494,1.84608
6,26670,h,1,0,0,0.532809,0.448537
7,26673,a,3,3,1,1.43595,2.63074
8,26684,h,1,1,1,1.974,0.328651
9,26700,a,0,1,4,2.48749,2.09751
10,26707,a,0,0,2,1.66337,2.68196
11,26716,h,1,2,2,3.04455,1.61437
12,26724,a,0,0,3,0.875443,1.94939
13,26734,h,3,3,1,3.21673,1.13266
14,26742,h,3,1,0,2.51338,0.385832
15,26761,a,0,1,2,0.389423,2.2861
16,26762,h,3,2,1,2.05988,1.09627
17,26778,a,0,0,3,0.225522,2.82867
18,26782,h,1,2,2,1.87997,0.938042
19,26793,h,3,2,1,2.3456,0.81548
20,26804,a,3,1,0,1.28522,1.23126
21,26812,a,1,2,2,1.20602,1.64458
22,26823,h,1,1,1,0.907851,1.67886
23,26841,a,0,0,2,0.742809,2.00146
24,26842,h,1,1,1,2.89841,0.332864
25,26884,h,1,2,2,1.02269,2.04279
26,26854,h,3,2,1,2.69413,2.17418
27,26868,a,0,1,4,0.667217,4.02522
28,26872,a,3,1,0,1.29638,0.637743
29,26893,a,3,3,0,1.20715,0.558009
30,26902,h,3,2,1,2.63349,0.96769
31,26921,a,3,3,0,2.99927,0.412256
32,26922,h,3,4,1,3.05371,1.27176
33,26937,a,0,1,2,1.85906,1.36232
34,26946,h,3,1,0,1.29013,0.702787
35,26955,a,3,1,0,1.12376,1.02272
36,26963,h,3,2,0,1.69061,0.523016
37,26974,a,0,0,2,0.335222,2.96259
