,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26607,a,1,1,1,1.90915,1.24405
1,26620,h,1,1,1,2.53513,1.89287
2,26624,a,3,3,2,2.95688,2.55629
3,26639,h,0,0,1,1.53731,0.932726
4,26645,a,0,0,3,1.46979,2.43731
5,26661,h,3,3,1,1.44215,0.696068
6,26663,a,0,0,1,1.94963,0.912063
7,26680,h,3,2,0,2.18419,0.740758
8,26684,a,1,1,1,0.328651,1.974
9,26692,h,3,2,1,2.4493,2.3527
10,26702,a,0,2,3,2.49234,1.56474
11,26712,h,0,1,2,1.91157,1.23059
12,26731,a,3,4,2,3.07901,0.866034
13,26732,h,3,1,0,3.27716,0.623934
14,26750,a,3,2,1,3.49127,1.5668
15,26754,h,1,1,1,2.04842,1.81827
16,26769,a,3,3,0,1.82831,2.28533
17,26772,h,1,0,0,1.20189,0.500066
18,26786,a,1,2,2,1.70692,0.961566
19,26792,h,3,1,0,2.61852,0.561015
20,26809,a,1,2,2,1.14845,2.53808
21,26819,a,3,4,1,2.70174,0.837801
22,26822,h,3,5,0,2.8254,0.996166
23,26832,h,0,0,2,1.65273,2.7219
24,26849,a,3,3,1,2.08722,0.974418
25,26852,h,0,0,1,0.629691,2.10124
26,26863,a,0,1,2,1.70169,2.57927
27,26879,a,1,2,2,2.22536,1.35053
28,26882,h,0,1,2,2.02714,1.60321
29,26896,h,0,1,2,1.99637,1.41263
30,26911,a,1,2,2,1.94869,0.907832
31,26912,h,3,1,0,1.8577,1.07203
32,26924,a,1,0,0,0.664093,0.337818
33,26932,h,1,1,1,0.60995,1.91039
34,26945,a,3,2,1,1.41783,2.05484
35,26955,h,0,0,1,1.02272,1.12376
36,26970,a,0,1,3,0.962014,1.59779
37,26979,h,3,2,0,2.72449,0.156702
