,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26609,h,3,2,1,1.38064,1.14757
1,26621,a,0,0,2,0.457239,2.71877
2,26623,h,3,3,1,3.86281,1.64713
3,26637,a,0,1,2,1.05094,1.55279
4,26648,a,0,1,3,0.893565,3.89481
5,26656,h,1,1,1,0.370222,0.878617
6,26667,h,3,5,3,4.13513,0.696254
7,26675,a,0,1,2,0.892843,1.76555
8,26685,h,3,4,3,4.09663,1.65698
9,26693,a,0,1,2,0.739231,1.43017
10,26702,h,3,3,2,1.56474,2.49234
11,26715,a,1,0,0,1.34314,1.5951
12,26722,h,3,4,1,2.21885,0.907555
13,26734,a,0,1,3,1.13266,3.21673
14,26743,h,3,4,2,1.746,1.95645
15,26757,a,0,1,2,1.65861,2.59146
16,26766,h,0,0,2,0.769004,0.964897
17,26774,a,1,0,0,0.961233,1.33538
18,26783,h,0,1,3,0.272604,1.99848
19,26799,a,3,5,0,5.54874,0.249614
20,26803,h,1,2,2,2.39088,2.65315
21,26813,h,0,0,2,1.20021,4.16249
22,26825,a,3,2,1,1.92037,1.23177
23,26834,h,0,0,2,1.66475,0.945355
24,26851,a,3,1,0,1.96499,0.673466
25,26858,a,3,4,0,2.03465,0.727901
26,26862,h,1,1,1,1.34009,1.44955
27,26872,h,0,0,1,0.637743,1.29638
28,26882,a,3,2,1,1.60321,2.02714
29,26899,a,0,1,2,1.53201,2.26584
30,26903,h,1,0,0,1.36123,1.47829
31,26913,a,1,1,1,0.588583,0.767369
32,26923,h,3,4,2,2.95516,1.24107
33,26939,a,3,2,0,1.52054,0.670607
34,26947,h,3,4,3,3.58737,1.13404
35,26954,a,3,1,0,1.32077,0.717433
36,26964,h,0,2,3,2.43045,1.61741
37,26978,a,1,1,1,1.97196,1.10889
