,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26605,a,3,3,0,1.79083,0.405325
1,26612,h,3,2,1,2.14153,1.28556
2,26622,a,1,1,1,1.81748,2.41798
3,26633,h,1,0,0,1.75696,0.721323
4,26650,h,1,2,2,1.56836,1.36923
5,26657,a,0,2,4,1.20712,3.65839
6,26671,h,3,3,2,1.97217,1.09279
7,26676,a,3,1,0,1.6779,1.93657
8,26686,h,1,2,2,1.51347,1.11074
9,26696,a,0,1,2,1.01568,1.81037
10,26703,h,3,2,1,2.87116,2.60334
11,26712,a,3,2,1,1.23059,1.91157
12,26723,h,1,1,1,1.86986,0.934969
13,26736,a,0,1,3,1.09939,0.666644
14,26751,a,1,2,2,1.12184,1.42438
15,26756,h,0,1,3,1.32323,3.00618
16,26767,a,1,1,1,1.34379,1.22937
17,26774,h,1,0,0,1.33538,0.961233
18,26782,a,1,2,2,0.938042,1.87997
19,26794,h,1,1,1,1.76513,1.81142
20,26805,a,3,2,0,1.06343,0.268127
21,26818,a,3,3,1,2.17172,1.31823
22,26824,h,0,0,1,0.64378,0.870883
23,26840,a,0,0,7,0.756296,4.0677
24,26843,h,3,3,0,2.06892,0.649788
25,26861,a,3,4,0,5.12018,0.154147
26,26863,h,3,2,1,2.57927,1.70169
27,26873,h,3,2,1,1.94417,0.708227
28,26889,a,1,2,2,2.11119,2.02642
29,26893,h,0,0,3,0.558009,1.20715
30,26904,a,0,1,2,1.27226,0.443965
31,26914,h,1,2,2,3.6978,1.98444
32,26923,a,0,2,4,1.24107,2.95516
33,26934,h,3,3,2,1.29433,1.24134
34,26944,h,1,1,1,0.687863,1.63777
35,26961,a,3,2,0,1.41254,0.73395
36,26965,h,3,3,2,2.17789,3.065
37,26976,a,3,4,1,3.11624,1.85265
