,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26610,h,0,0,2,1.06123,1.18038
1,26619,a,3,6,2,2.02935,2.4181
2,26630,h,1,1,1,2.97743,0.459708
3,26639,a,3,1,0,0.932726,1.53731
4,26642,a,3,3,0,2.39727,0.758267
5,26657,h,3,4,2,3.65839,1.20712
6,26668,h,1,1,1,2.27752,1.66654
7,26679,a,0,1,2,1.33904,2.22517
8,26688,h,3,2,1,1.61794,1.74225
9,26697,a,1,1,1,1.21071,2.1605
10,26705,h,1,1,1,1.24067,1.9605
11,26719,a,3,2,1,2.81658,0.967987
12,26724,h,3,3,0,1.94939,0.875443
13,26741,a,3,5,1,5.8331,1.91014
14,26745,a,3,4,3,2.57326,3.25488
15,26757,h,3,2,1,2.59146,1.65861
16,26764,a,1,0,0,1.51591,1.07081
17,26775,h,0,1,2,1.55626,1.77929
18,26787,a,0,0,2,1.60622,1.50093
19,26795,a,1,1,1,1.51541,1.2766
20,26809,h,1,2,2,2.53808,1.14845
21,26814,h,3,3,1,3.14882,1.06726
22,26828,a,0,1,3,1.49843,2.23213
23,26835,h,3,2,1,1.39066,1.1868
24,26843,a,0,0,3,0.649788,2.06892
25,26854,a,0,1,2,2.17418,2.69413
26,26869,h,3,4,0,2.98234,0.845039
27,26874,h,3,1,0,1.76844,0.108487
28,26883,a,0,0,1,0.286036,0.695725
29,26897,h,3,1,0,1.30443,1.40274
30,26903,a,1,0,0,1.47829,1.36123
31,26915,h,1,2,2,2.90758,1.60301
32,26926,a,3,2,1,0.75172,0.306122
33,26935,h,3,1,0,0.768313,0.916838
34,26948,h,3,3,1,3.51944,1.4267
35,26957,a,0,0,2,0.646426,1.6703
36,26966,h,3,1,0,1.29571,0.337632
37,26972,a,3,1,0,1.30874,1.58014
