,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26609,a,0,1,2,1.14757,1.38064
1,26613,h,0,0,2,1.3761,1.53421
2,26630,a,1,1,1,0.459708,2.97743
3,26636,h,1,2,2,2.88716,1.65187
4,26649,h,1,0,0,1.66928,2.35056
5,26654,a,0,1,2,1.12358,1.10959
6,26662,h,0,0,1,0.609481,2.07332
7,26677,a,0,0,1,0.835001,1.88573
8,26689,h,3,1,0,0.978611,1.0192
9,26701,a,1,2,2,2.64849,1.65018
10,26706,h,0,0,2,1.96037,2.25331
11,26716,a,1,2,2,1.61437,3.04455
12,26725,h,1,1,1,2.29595,0.020989
13,26737,a,3,1,0,1.65422,0.471708
14,26747,h,1,2,2,1.21476,1.5846
15,26756,a,3,3,1,3.00618,1.32323
16,26765,h,0,1,5,1.6052,3.05434
17,26772,a,1,0,0,0.500066,1.20189
18,26784,h,3,2,1,3.05417,1.21853
19,26795,h,1,1,1,1.2766,1.51541
20,26806,a,3,2,0,2.2647,2.09904
21,26821,a,3,2,0,1.62561,0.221062
22,26825,h,0,1,2,1.23177,1.92037
23,26838,a,3,2,0,2.44633,1.50706
24,26844,h,0,1,2,2.30646,1.01565
25,26856,a,3,2,0,1.46203,0.23426
26,26868,h,3,4,1,4.02522,0.667217
27,26875,h,3,1,0,3.13879,1.63282
28,26900,a,1,1,1,0.93776,0.687304
29,26904,h,3,2,1,0.443965,1.27226
30,26917,a,0,2,5,1.33808,4.59724
31,26890,a,0,0,5,2.37548,2.32947
32,26924,h,1,0,0,0.337818,0.664093
33,26933,a,1,2,2,2.50515,1.92149
34,26949,h,1,1,1,2.34037,0.63684
35,26960,a,3,2,0,3.98546,0.806792
36,26967,h,3,4,2,1.68451,1.42886
37,26975,a,1,1,1,1.4144,1.92122
