,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26605,h,0,0,3,0.405325,1.79083
1,26617,a,0,0,4,0.648869,2.61143
2,26624,h,0,2,3,2.55629,2.95688
3,26638,a,0,2,3,0.852158,3.15876
4,26644,a,1,1,1,1.82377,1.33793
5,26654,h,3,2,1,1.10959,1.12358
6,26669,h,1,0,0,0.692214,1.79048
7,26674,a,3,2,0,1.60804,1.174
8,26687,h,1,1,1,0.884845,1.49531
9,26699,a,0,0,1,1.78581,0.540345
10,26710,a,1,0,0,0.865983,1.1237
11,26715,h,1,0,0,1.5951,1.34314
12,26727,a,0,0,4,0.766749,1.76161
13,26735,h,3,4,0,1.49904,0.847724
14,26755,a,1,0,0,0.132166,1.30865
15,26764,h,1,0,0,1.07081,1.51591
16,26777,a,1,1,1,0.653289,2.51965
17,26785,h,0,0,2,0.615191,2.02753
18,26792,a,0,0,1,0.561015,2.61852
19,26804,h,0,0,1,1.23126,1.28522
20,26815,h,3,3,2,2.56089,1.35719
21,26824,a,3,1,0,0.870883,0.64378
22,26836,h,3,4,0,3.11261,0.447136
23,26748,h,1,2,2,0.910523,0.929103
24,26844,a,3,2,1,1.01565,2.30646
25,26855,h,1,2,2,2.10444,0.645685
26,26862,a,1,1,1,1.44955,1.34009
27,26881,a,1,1,1,1.3672,0.812432
28,26885,h,1,1,1,1.189,0.516029
29,26901,a,0,0,1,0.823136,1.29718
30,26905,h,1,1,1,1.22875,1.4031
31,26920,a,3,1,0,1.26036,0.423949
32,26925,h,0,0,2,0.81683,1.87989
33,26935,a,0,0,1,0.916838,0.768313
34,26950,h,1,2,2,0.808481,1.14351
35,26953,a,3,3,1,1.32604,1.20869
36,26968,h,3,2,0,2.67793,1.05025
37,26973,a,3,1,0,1.07279,1.1591
