,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26602,a,0,0,1,0.418711,2.04268
1,26614,h,3,2,1,1.96218,0.857005
2,26625,a,1,1,1,1.18883,0.707048
3,26634,h,1,1,1,2.88601,0.682719
4,26646,h,3,3,1,3.21141,1.09768
5,26653,a,3,1,0,1.43592,0.614351
6,26664,a,0,2,3,2.75846,1.36684
7,26673,h,0,1,3,2.63074,1.43595
8,26687,a,1,1,1,1.49531,0.884845
9,26693,h,3,2,1,1.43017,0.739231
10,26706,a,3,2,0,2.25331,1.96037
11,26717,h,0,1,4,0.717158,1.33903
12,26729,a,1,1,1,1.57274,1.01086
13,26736,h,3,3,1,0.666644,1.09939
14,26749,h,1,1,1,0.150988,2.4333
15,26752,a,1,2,2,1.2862,2.09698
16,26763,h,1,0,0,1.25255,0.280031
17,26775,a,3,2,1,1.77929,1.55626
18,26786,h,1,2,2,0.961566,1.70692
19,26796,h,1,2,2,2.65469,1.4434
20,26808,a,0,2,3,2.83581,0.937322
21,26817,a,3,2,0,2.36823,0.676934
22,26826,h,0,0,1,0.560571,0.201988
23,26839,a,3,2,1,1.60881,1.22716
24,26845,h,3,2,1,2.20993,0.331301
25,26856,h,0,0,2,0.23426,1.46203
26,26867,a,3,2,1,1.43473,0.928973
27,26873,a,0,1,2,0.708227,1.94417
28,26886,h,3,2,0,1.03966,1.40865
29,26892,a,0,1,2,1.44206,2.30189
30,26906,h,3,3,2,1.72764,1.40638
31,26912,a,0,0,1,1.07203,1.8577
32,26926,h,0,1,2,0.306122,0.75172
33,26940,a,3,2,1,1.9956,0.935581
34,26946,a,0,0,1,0.702787,1.29013
35,26953,h,0,1,3,1.20869,1.32604
36,26964,a,3,3,2,1.61741,2.43045
37,26981,h,0,0,2,2.21797,2.45923
