,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26603,h,0,0,2,0.342601,3.92906
1,26615,a,0,1,4,0.479999,3.07818
2,26625,h,1,1,1,0.707048,1.18883
3,26633,a,1,0,0,0.721323,1.75696
4,26643,a,1,1,1,1.645,2.89813
5,26659,h,1,2,2,1.84608,1.14494
6,26665,a,0,1,4,1.18463,4.39402
7,26674,h,0,0,2,1.174,1.60804
8,26685,a,0,3,4,1.65698,4.09663
9,26695,h,1,1,1,1.33617,2.33858
10,26709,a,3,2,1,2.18392,1.75088
11,26718,h,1,1,1,1.98714,1.26912
12,26728,a,0,0,1,0.462771,1.76587
13,26737,h,0,0,1,0.471708,1.65422
14,26750,h,0,1,2,1.5668,3.49127
15,26758,a,3,2,1,1.73349,1.23748
16,26771,h,0,0,4,1.06427,3.23386
17,26773,a,0,0,1,0.0783327,2.16462
18,26787,h,3,2,0,1.50093,1.60622
19,26796,a,1,2,2,1.4434,2.65469
20,26805,h,0,0,2,0.268127,1.06343
21,26816,h,0,0,6,0.795637,3.20228
22,26827,a,0,1,4,0.804707,2.16809
23,26837,h,0,1,2,1.94845,1.17566
24,26842,a,1,1,1,0.332864,2.89841
25,26857,h,0,1,4,1.15389,1.58741
26,26871,a,0,2,3,1.04498,1.40202
27,26875,a,0,0,1,1.63282,3.13879
28,26887,h,0,2,4,0.520839,1.30722
29,26896,a,3,2,1,1.41263,1.99637
30,26907,h,0,1,2,0.872356,2.8096
31,26915,a,1,2,2,1.60301,2.90758
32,26927,h,0,0,4,0.192879,2.81362
33,26938,a,0,0,3,0.127203,4.11539
34,26950,a,1,2,2,1.14351,0.808481
35,26954,h,0,0,1,0.717433,1.32077
36,26969,a,0,0,2,1.36957,0.788544
37,26980,h,0,1,3,0.893095,0.967379
