,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26611,h,1,1,1,1.02614,1.40775
1,26614,a,0,1,2,0.857005,1.96218
2,26626,h,0,1,2,0.774741,2.16385
3,26636,a,1,2,2,1.65187,2.88716
4,26644,h,1,1,1,1.33793,1.82377
5,26655,a,0,2,4,0.337909,6.05305
6,26663,h,3,1,0,0.912063,1.94963
7,26678,a,3,3,2,2.83826,2.42776
8,26682,h,0,1,3,0.832415,2.54488
9,26695,a,1,1,1,2.33858,1.33617
10,26708,a,0,0,3,0.417295,1.2369
11,26719,h,0,1,2,0.967987,2.81658
12,26722,a,0,1,4,0.907555,2.21885
13,26738,h,3,3,1,2.78061,2.87716
14,26751,h,1,2,2,1.42438,1.12184
15,26760,a,0,0,4,0.186759,3.95461
16,26770,h,0,0,3,0.78868,1.13531
17,26776,a,0,1,3,0.22097,1.89935
18,26788,h,0,0,2,1.84208,1.58002
19,26793,a,0,1,2,0.81548,2.3456
20,26806,h,0,0,2,2.09904,2.2647
21,26817,h,0,0,2,0.676934,2.36823
22,26830,a,3,2,1,1.40469,1.27483
23,26836,a,0,0,4,0.447136,3.11261
24,26846,h,0,0,2,0.233209,1.75
25,26858,h,0,0,4,0.727901,2.03465
26,26866,a,0,0,2,0.289578,1.70437
27,26874,a,0,0,1,0.108487,1.76844
28,26888,h,0,0,3,1.30455,1.13892
29,26898,a,0,0,2,0.104741,2.07165
30,26908,h,0,0,3,0.354575,3.44111
31,26914,a,1,2,2,1.98444,3.6978
32,26928,h,0,0,1,0.232205,4.52706
33,26941,a,0,0,3,1.04978,2.57666
34,26951,h,3,2,0,1.60739,0.550774
35,26958,a,1,2,2,1.22949,1.76909
36,26969,h,3,2,0,0.788544,1.36957
37,26979,a,0,0,2,0.156702,2.72449
