,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26603,a,3,2,0,3.92906,0.342601
1,26621,h,3,2,0,2.71877,0.457239
2,26631,a,3,3,0,2.10397,1.50087
3,26635,h,0,0,1,1.17044,0.589532
4,26645,h,3,3,0,2.43731,1.46979
5,26658,a,3,2,1,2.11724,0.748925
6,26662,a,3,1,0,2.07332,0.609481
7,26679,h,3,2,1,2.22517,1.33904
8,26691,a,1,2,2,1.35346,1.0883
9,26696,h,3,2,1,1.81037,1.01568
10,26707,h,3,2,0,2.68196,1.66337
11,26721,a,3,3,2,3.18835,1.53985
12,26726,h,3,2,0,3.70054,0.745015
13,26740,a,1,3,3,2.22766,1.52057
14,26752,h,1,2,2,2.09698,1.2862
15,26768,a,3,6,3,5.20214,1.20245
16,26776,h,3,3,1,1.89935,0.22097
17,26791,a,3,5,0,3.29868,0.518279
18,26797,h,1,2,2,2.862,1.67469
19,26807,a,1,1,1,2.72291,0.5292
20,26813,a,3,2,0,4.16249,1.20021
21,26827,h,3,4,1,2.16809,0.804707
22,26832,a,3,2,0,2.7219,1.65273
23,26748,a,1,2,2,0.929103,0.910523
24,26847,h,3,2,1,1.86758,1.05329
25,26884,a,1,2,2,2.04279,1.02269
26,26859,a,3,2,0,0.807058,0.58248
27,26870,h,3,2,0,1.40027,0.45882
28,26876,h,3,3,1,4.98996,0.511566
29,26901,h,3,1,0,1.29718,0.823136
30,26906,a,0,2,3,1.40638,1.72764
31,26916,h,3,2,1,1.42902,1.46598
32,26928,a,3,1,0,4.52706,0.232205
33,26936,h,3,5,1,2.51104,0.512812
34,26948,a,0,1,3,1.4267,3.51944
35,26952,h,1,2,2,2.74682,2.18795
36,26965,a,0,2,3,3.065,2.17789
37,26975,h,1,1,1,1.92122,1.4144
