,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26610,a,3,2,0,1.18038,1.06123
1,26615,h,3,4,1,3.07818,0.479999
2,26628,a,3,3,1,3.19297,0.947201
3,26637,h,3,2,1,1.55279,1.05094
4,26651,h,1,2,2,2.75588,1.28411
5,26652,a,1,1,1,1.26516,1.34344
6,26664,h,3,3,2,1.36684,2.75846
7,26681,a,3,2,1,1.36569,0.761217
8,26683,h,3,1,0,3.16286,0.369989
9,26692,a,0,1,2,2.3527,2.4493
10,26703,a,0,1,2,2.60334,2.87116
11,26720,h,0,0,4,2.15899,3.30449
12,26726,a,0,0,2,0.745015,3.70054
13,26739,h,3,3,0,3.20169,0.802155
14,26747,a,1,2,2,1.5846,1.21476
15,26753,h,0,1,2,0.638103,2.04662
16,26762,a,0,1,2,1.09627,2.05988
17,26777,h,1,1,1,2.51965,0.653289
18,26788,a,3,2,0,1.58002,1.84208
19,26798,h,3,4,1,1.97986,1.53286
20,26803,a,1,2,2,2.65315,2.39088
21,26816,a,3,6,0,3.20228,0.795637
22,26828,h,3,3,1,2.23213,1.49843
23,26833,a,0,1,5,0.743191,1.53202
24,26848,h,3,4,0,2.12004,0.157211
25,26859,h,0,0,2,0.58248,0.807058
26,26865,a,3,1,0,2.38641,1.28426
27,26878,a,0,0,1,0.721234,0.501476
28,26889,h,1,2,2,2.02642,2.11119
29,26898,h,3,2,0,2.07165,0.104741
30,26909,a,1,0,0,0.687894,1.23317
31,26917,h,3,5,2,4.59724,1.33808
32,26925,a,3,2,0,1.87989,0.81683
33,26937,h,3,2,1,1.36232,1.85906
34,26942,h,3,1,0,0.859463,0.622455
35,26959,a,1,0,0,1.58463,0.136995
36,26970,h,3,3,1,1.59779,0.962014
37,26981,a,3,2,0,2.45923,2.21797
