,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26602,h,3,1,0,2.04268,0.418711
1,26612,a,0,1,2,1.28556,2.14153
2,26631,h,0,0,3,1.50087,2.10397
3,26632,a,3,3,0,3.02693,1.35593
4,26649,a,1,0,0,2.35056,1.66928
5,26660,h,0,0,3,0.600721,5.4072
6,26670,a,1,0,0,0.448537,0.532809
7,26675,h,3,2,1,1.76555,0.892843
8,26690,a,0,1,2,2.62598,2.99312
9,26697,h,1,1,1,2.1605,1.21071
10,26708,h,3,3,0,1.2369,0.417295
11,26718,a,1,1,1,1.26912,1.98714
12,26727,h,3,4,0,1.76161,0.766749
13,26733,a,0,0,2,0.256083,2.96684
14,26744,h,0,2,3,1.4697,0.651217
15,26753,a,3,2,1,2.04662,0.638103
16,26769,h,0,0,3,2.28533,1.82831
17,26781,a,0,0,2,0.358876,0.826489
18,26789,h,0,0,2,1.00073,2.2424
19,26797,a,1,2,2,1.67469,2.862
20,26811,h,3,3,1,3.10847,1.36705
21,26818,h,0,1,3,1.31823,2.17172
22,26826,a,3,1,0,0.201988,0.560571
23,26838,h,0,0,2,1.50706,2.44633
24,26850,a,0,0,1,1.42652,1.97109
25,26855,a,1,2,2,0.645685,2.10444
26,26871,h,3,3,2,1.40202,1.04498
27,26877,h,1,1,1,1.31107,1.82996
28,26888,a,3,3,0,1.13892,1.30455
29,26894,a,0,0,1,1.86688,0.512063
30,26909,h,1,0,0,1.23317,0.687894
31,26918,a,0,1,4,0.786568,2.6383
32,26929,h,0,0,1,1.13966,0.187814
33,26932,a,1,1,1,1.91039,0.60995
34,26947,a,0,3,4,1.13404,3.58737
35,26956,h,0,0,2,2.31287,2.15985
36,26966,a,0,0,1,0.337632,1.29571
37,26974,h,3,2,0,2.96259,0.335222
