,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26606,h,3,1,0,0.433489,1.95483
1,26620,a,1,1,1,1.89287,2.53513
2,26629,h,3,2,1,1.58694,1.63304
3,26641,a,3,2,1,1.48343,1.46969
4,26646,a,0,1,3,1.09768,3.21141
5,26652,h,1,1,1,1.34344,1.26516
6,26669,a,1,0,0,1.79048,0.692214
7,26676,h,0,0,1,1.93657,1.6779
8,26688,a,0,1,2,1.74225,1.61794
9,26694,h,3,1,0,0.859715,0.911305
10,26704,a,3,3,1,1.86904,1.17852
11,26713,h,0,0,2,1.49781,0.942824
12,26725,a,1,1,1,0.020989,2.29595
13,26740,h,1,3,3,1.52057,2.22766
14,26743,a,0,2,4,1.95645,1.746
15,26760,h,3,4,0,3.95461,0.186759
16,26771,a,3,4,0,3.23386,1.06427
17,26778,h,3,3,0,2.82867,0.225522
18,26789,a,3,2,0,2.2424,1.00073
19,26800,a,3,2,1,2.42963,1.00333
20,26810,h,3,3,0,2.13327,1.47433
21,26819,h,0,1,4,0.837801,2.70174
22,26829,a,3,3,1,3.08319,0.825621
23,26839,h,0,1,2,1.22716,1.60881
24,26848,a,0,0,4,0.157211,2.12004
25,26860,h,3,4,3,3.45858,2.38603
26,26870,a,0,0,2,0.45882,1.40027
27,26880,a,3,1,0,1.62976,0.823986
28,26899,h,3,2,1,2.26584,1.53201
29,26908,a,3,3,0,3.44111,0.354575
30,26918,h,3,4,1,2.6383,0.786568
31,26890,h,3,5,0,2.32947,2.37548
32,26922,a,0,1,4,1.27176,3.05371
33,26938,h,3,3,0,4.11539,0.127203
34,26944,a,1,1,1,1.63777,0.687863
35,26957,h,3,2,0,1.6703,0.646426
36,26962,a,0,0,1,2.24634,1.15958
37,26973,h,0,0,1,1.1591,1.07279
