,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26607,h,1,1,1,1.24405,1.90915
1,26616,a,3,1,0,2.86475,0.214952
2,26627,h,1,1,1,1.41069,0.937632
3,26635,a,3,1,0,0.589532,1.17044
4,26650,a,1,2,2,1.36923,1.56836
5,26653,h,0,0,1,0.614351,1.43592
6,26668,a,1,1,1,1.66654,2.27752
7,26677,h,3,1,0,1.88573,0.835001
8,26682,a,3,3,1,2.54488,0.832415
9,26698,h,3,3,0,2.35011,0.132317
10,26704,h,0,1,3,1.17852,1.86904
11,26714,a,0,0,3,0.403136,1.66016
12,26728,h,3,1,0,1.76587,0.462771
13,26739,a,0,0,3,0.802155,3.20169
14,26744,a,3,3,2,0.651217,1.4697
15,26761,h,3,2,1,2.2861,0.389423
16,26766,a,3,2,0,0.964897,0.769004
17,26779,h,3,1,0,1.30018,1.05758
18,26785,a,3,2,0,2.02753,0.615191
19,26801,a,3,3,0,2.57227,1.90463
20,26807,h,1,1,1,0.5292,2.72291
21,26820,h,3,3,2,2.36419,1.25922
22,26822,a,0,0,5,0.996166,2.8254
23,26840,h,3,7,0,4.0677,0.756296
24,26845,a,0,1,2,0.331301,2.20993
25,26860,a,0,3,4,2.38603,3.45858
26,26864,h,1,0,0,0.508611,1.31766
27,26878,h,3,1,0,0.501476,0.721234
28,26887,a,3,4,2,1.30722,0.520839
29,26894,h,3,1,0,0.512063,1.86688
30,26902,a,0,1,2,0.96769,2.63349
31,26920,h,0,0,1,0.423949,1.26036
32,26930,a,3,2,1,0.557682,2.4024
33,26939,h,0,0,2,0.670607,1.52054
34,26949,a,1,1,1,0.63684,2.34037
35,26958,h,1,2,2,1.76909,1.22949
36,26971,a,3,2,1,2.14756,0.850457
37,26972,h,0,0,1,1.58014,1.30874
