,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26606,a,0,0,1,1.95483,0.433489
1,26616,h,0,0,1,0.214952,2.86475
2,26623,a,0,1,3,1.64713,3.86281
3,26632,h,0,0,3,1.35593,3.02693
4,26643,h,1,1,1,2.89813,1.645
5,26661,a,0,1,3,0.696068,1.44215
6,26666,a,0,1,3,1.27313,3.25165
7,26678,h,0,2,3,2.42776,2.83826
8,26683,a,0,0,1,0.369989,3.16286
9,26699,h,3,1,0,0.540345,1.78581
10,26711,a,0,0,2,0.792655,0.912781
11,26721,h,0,2,3,1.53985,3.18835
12,26723,a,1,1,1,0.934969,1.86986
13,26741,h,0,1,5,1.91014,5.8331
14,26742,a,0,0,1,0.385832,2.51338
15,26759,h,0,0,5,1.27356,3.89322
16,26763,a,1,0,0,0.280031,1.25255
17,26780,h,0,0,1,2.19833,1.90111
18,26784,a,0,1,2,1.21853,3.05417
19,26799,h,0,0,5,0.249614,5.54874
20,26811,a,0,1,3,1.36705,3.10847
21,26820,a,0,2,3,1.25922,2.36419
22,26829,h,0,1,3,0.825621,3.08319
23,26837,a,3,2,1,1.17566,1.94845
24,26849,h,0,1,3,0.974418,2.08722
25,26861,h,0,0,4,0.154147,5.12018
26,26869,a,0,0,4,0.845039,2.98234
27,26876,a,0,1,3,0.511566,4.98996
28,26891,h,0,1,2,1.2821,0.540718
29,26900,h,1,1,1,0.687304,0.93776
30,26910,a,0,1,3,0.780439,2.648
31,26921,h,0,0,3,0.412256,2.99927
32,26931,a,1,1,1,0.922877,0.98423
33,26940,h,0,1,2,0.935581,1.9956
34,26951,a,0,0,2,0.550774,1.60739
35,26959,h,1,0,0,0.136995,1.58463
36,26968,a,0,0,2,1.05025,2.67793
37,26977,h,0,1,2,0.598144,2.40711
