,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26611,a,1,1,1,1.40775,1.02614
1,26617,h,3,4,0,2.61143,0.648869
2,26629,a,0,1,2,1.63304,1.58694
3,26640,h,0,0,1,0.792595,1.1209
4,26648,h,3,3,1,3.89481,0.893565
5,26660,a,3,3,0,5.4072,0.600721
6,26671,a,0,2,3,1.09279,1.97217
7,26672,h,3,4,1,1.44052,0.858803
8,26689,a,0,0,1,1.0192,0.978611
9,26700,h,3,4,1,2.09751,2.48749
10,26709,h,0,1,2,1.75088,2.18392
11,26720,a,3,4,0,3.30449,2.15899
12,26729,h,1,1,1,1.01086,1.57274
13,26732,a,0,0,1,0.623934,3.27716
14,26745,h,0,3,4,3.25488,2.57326
15,26759,a,3,5,0,3.89322,1.27356
16,26768,h,0,3,6,1.20245,5.20214
17,26779,a,0,0,1,1.05758,1.30018
18,26790,h,1,2,2,2.28433,0.640697
19,26800,h,0,1,2,1.00333,2.42963
20,26802,a,0,1,2,0.777071,2.25501
21,26815,a,0,2,3,1.35719,2.56089
22,26830,h,0,1,2,1.27483,1.40469
23,26834,a,3,2,0,0.945355,1.66475
24,26850,h,3,1,0,1.97109,1.42652
25,26857,a,3,4,1,1.58741,1.15389
26,26865,h,0,0,1,1.28426,2.38641
27,26879,h,1,2,2,1.35053,2.22536
28,26886,a,0,0,2,1.40865,1.03966
29,26897,a,0,0,1,1.40274,1.30443
30,26910,h,3,3,1,2.648,0.780439
31,26919,a,0,2,4,1.62887,2.22977
32,26930,h,0,1,2,2.4024,0.557682
33,26936,a,0,1,5,0.512812,2.51104
34,26943,a,1,1,1,0.847022,1.15166
35,26960,h,0,0,2,0.806792,3.98546
36,26963,a,0,0,2,0.523016,1.69061
37,26976,h,0,1,4,1.85265,3.11624
