,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26608,h,0,1,2,2.8047,2.6703
1,26613,a,3,2,0,1.53421,1.3761
2,26628,h,0,1,3,0.947201,3.19297
3,26634,a,1,1,1,0.682719,2.88601
4,26642,h,0,0,3,0.758267,2.39727
5,26656,a,1,1,1,0.878617,0.370222
6,26665,h,3,4,1,4.39402,1.18463
7,26672,a,0,1,4,0.858803,1.44052
8,26690,h,3,2,1,2.99312,2.62598
9,26698,a,0,0,3,0.132317,2.35011
10,26710,h,1,0,0,1.1237,0.865983
11,26713,a,3,2,0,0.942824,1.49781
12,26730,h,0,2,5,1.23539,3.99935
13,26738,a,0,1,3,2.87716,2.78061
14,26746,h,3,2,1,1.19808,1.47567
15,26754,a,1,1,1,1.81827,2.04842
16,26767,h,1,1,1,1.22937,1.34379
17,26780,a,3,1,0,1.90111,2.19833
18,26791,h,0,0,5,0.518279,3.29868
19,26798,a,0,1,4,1.53286,1.97986
20,26808,h,3,3,2,0.937322,2.83581
21,26821,h,0,0,2,0.221062,1.62561
22,26823,a,1,1,1,1.67886,0.907851
23,26835,a,0,1,2,1.1868,1.39066
24,26851,h,0,0,1,0.673466,1.96499
25,26853,a,3,1,0,1.02684,1.37264
26,26866,h,3,2,0,1.70437,0.289578
27,26880,h,0,0,1,0.823986,1.62976
28,26885,a,1,1,1,0.516029,1.189
29,26895,a,0,0,1,1.73057,1.10359
30,26911,h,1,2,2,0.907832,1.94869
31,26916,a,0,1,2,1.46598,1.42902
32,26931,h,1,1,1,0.98423,0.922877
33,26934,a,0,2,3,1.24134,1.29433
34,26943,h,1,1,1,1.15166,0.847022
35,26956,a,3,2,0,2.15985,2.31287
36,26971,h,0,1,2,0.850457,2.14756
37,26980,a,3,3,1,0.967379,0.893095
