,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26604,a,0,0,2,0.575835,1.6283
1,26619,h,0,2,6,2.4181,2.02935
2,26627,a,1,1,1,0.937632,1.41069
3,26641,h,0,1,2,1.46969,1.48343
4,26647,a,0,1,3,0.520117,2.37351
5,26658,h,0,1,2,0.748925,2.11724
6,26667,a,0,3,5,0.696254,4.13513
7,26681,h,0,1,2,0.761217,1.36569
8,26686,a,1,2,2,1.11074,1.51347
9,26701,h,1,2,2,1.65018,2.64849
10,26711,h,3,2,0,0.912781,0.792655
11,26717,a,3,4,1,1.33903,0.717158
12,26731,h,0,2,4,0.866034,3.07901
13,26735,a,0,0,4,0.847724,1.49904
14,26746,a,0,1,2,1.47567,1.19808
15,26758,h,0,1,2,1.23748,1.73349
16,26770,a,3,3,0,1.13531,0.78868
17,26781,h,3,2,0,0.826489,0.358876
18,26790,a,1,2,2,0.640697,2.28433
19,26801,h,0,0,3,1.90463,2.57227
20,26810,a,0,0,3,1.47433,2.13327
21,26814,a,0,1,3,1.06726,3.14882
22,26831,h,0,0,1,0.514724,0.887358
23,26841,h,3,2,0,2.00146,0.742809
24,26847,a,0,1,2,1.05329,1.86758
25,26852,a,3,1,0,2.10124,0.629691
26,26867,h,0,1,2,0.928973,1.43473
27,26881,h,1,1,1,0.812432,1.3672
28,26891,a,3,2,1,0.540718,1.2821
29,26895,h,3,1,0,1.10359,1.73057
30,26907,a,3,2,1,2.8096,0.872356
31,26919,h,3,4,2,2.22977,1.62887
32,26929,a,3,1,0,0.187814,1.13966
33,26941,h,3,3,0,2.57666,1.04978
34,26942,a,0,0,1,0.622455,0.859463
35,26961,h,0,0,2,0.73395,1.41254
36,26967,a,0,2,4,1.42886,1.68451
37,26978,h,1,1,1,1.10889,1.97196
