,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26984,a,0,1,2,1.9391,0.793797
1,27000,h,1,0,0,0.172545,1.36012
2,27008,a,3,2,1,2.62561,0.951647
3,27017,h,3,2,0,2.01026,0.547308
4,27022,a,0,2,3,2.3693,1.95102
5,27035,h,3,2,1,1.40641,0.623937
6,27051,a,0,2,3,0.853455,1.79791
7,27059,a,0,0,2,0.415348,2.55847
8,27064,h,0,0,3,0.794829,2.49367
9,27078,h,0,2,3,0.433035,2.33646
10,27090,a,0,0,1,0.871439,2.89009
11,27097,h,3,1,0,1.43582,0.708287
12,27111,a,0,0,3,0.608571,1.44293
13,27120,a,0,1,2,0.785902,2.05318
14,27124,h,1,1,1,1.28884,1.3688
15,27141,a,1,2,2,1.50067,2.31345
16,27149,h,1,1,1,0.803776,0.843706
17,27161,a,1,2,2,1.54294,1.34762
18,27166,h,0,0,1,1.72201,0.625652
19,27181,a,3,3,1,1.6539,0.501492
20,27186,h,1,1,1,0.891741,0.155093
21,27200,a,0,0,1,0.126278,1.18526
22,27204,h,0,0,1,1.25855,0.825065
23,27219,a,1,3,3,1.4212,1.76328
24,27231,h,0,0,1,1.54627,0.495881
25,27240,a,1,1,1,1.63763,1.83195
26,27249,h,3,1,0,1.21479,2.63287
27,27260,a,1,2,2,1.49888,1.94387
28,27266,h,0,0,2,1.60064,0.681703
29,27280,a,3,1,0,0.805674,1.73306
30,27287,h,0,0,1,0.607781,1.26541
31,27299,a,1,1,1,1.30312,1.89613
32,27310,h,3,1,0,0.815479,0.472083
33,27314,h,1,0,0,0.908148,0.391409
34,27331,a,0,0,1,0.642793,1.35049
35,27333,h,3,1,0,2.06262,0.584778
36,27349,a,3,1,0,1.22692,0.890453
37,27356,h,1,1,1,1.57466,1.88098
