,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26982,h,1,1,1,0.290195,0.537517
1,26995,a,0,1,2,1.09985,2.41577
2,27006,h,3,1,0,1.51595,0.0996371
3,27013,h,0,0,1,0.252231,1.58613
4,27027,a,3,3,2,1.80432,1.5194
5,27047,a,3,2,0,1.32325,0.666594
6,27032,h,3,3,1,0.864304,1.21547
7,27052,h,1,1,1,1.82961,1.24147
8,27066,a,0,1,2,3.15974,2.17393
9,27072,h,3,4,1,1.46517,0.500795
10,27083,a,1,0,0,0.755466,0.542356
11,27092,h,1,1,1,4.2033,1.54499
12,27106,a,1,1,1,1.487,0.887674
13,27112,h,3,1,0,1.65075,0.799084
14,27125,a,3,2,1,0.556919,0.590024
15,27162,h,3,2,1,2.08134,1.97732
16,27134,h,3,2,0,1.31484,0.796459
17,27149,a,1,1,1,0.843706,0.803776
18,27159,a,3,2,1,1.18093,0.417557
19,27175,a,3,2,1,2.49675,0.40033
20,27182,h,1,0,0,2.27277,1.57401
21,27198,a,1,2,2,1.75905,1.31717
22,27209,h,3,3,0,3.81937,0.0558089
23,27221,a,1,1,1,0.896815,1.19577
24,27222,h,3,7,1,5.3162,0.598765
25,27236,a,0,0,1,1.54329,2.01612
26,27243,h,1,1,1,0.938663,1.02509
27,27255,a,3,1,0,1.64488,0.459323
28,27269,h,1,0,0,0.759463,0.564979
29,27276,a,1,0,0,0.998653,1.59491
30,27283,h,3,3,1,1.97654,1.81883
31,27294,a,0,0,1,0.132511,2.40667
32,27303,h,3,1,0,2.63805,1.01774
33,27315,a,1,0,0,0.232928,0.893155
34,27331,h,3,1,0,1.35049,0.642793
35,27334,a,3,2,0,1.33336,0.73382
36,27345,a,3,1,0,1.16214,0.388682
37,27353,h,0,0,3,0.750806,3.36402
