,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26991,a,1,2,2,1.13868,0.68684
1,27001,h,3,3,0,1.42393,0.596524
2,27009,h,1,0,0,3.88587,0.855829
3,27013,a,3,1,0,1.58613,0.252231
4,27023,h,3,3,0,3.22965,0.18311
5,27036,a,1,1,1,0.554066,1.68952
6,27048,a,3,1,0,0.778357,1.76126
7,27053,h,1,1,1,1.05477,0.660987
8,27067,a,1,1,1,0.561748,1.08517
9,27073,h,3,3,1,5.21397,0.271901
10,27084,a,0,0,1,0.555217,2.20384
11,27093,h,3,2,0,1.73469,0.0329044
12,27107,a,3,1,0,0.93863,0.735147
13,27120,h,3,2,1,2.05318,0.785902
14,27126,a,3,5,0,3.40487,0.437294
15,27135,h,3,4,3,2.32183,0.635773
16,27142,h,3,1,0,1.85376,0.238672
17,27160,a,3,2,1,0.710716,3.37424
18,27163,h,3,1,0,2.28719,0.391974
19,27176,a,0,0,1,3.0563,0.770342
20,27183,h,1,1,1,1.72274,1.78456
21,27192,h,3,2,0,1.59869,0.421783
22,27205,a,1,1,1,1.62463,2.55575
23,27212,h,1,1,1,0.689105,1.45388
24,27225,a,3,3,0,2.31785,1.35435
25,27236,h,3,1,0,2.01612,1.54329
26,27250,a,0,1,2,1.02142,1.39814
27,27252,h,0,2,4,1.09435,2.16215
28,27262,a,1,1,1,0.994468,0.985043
29,27277,a,3,2,1,1.23653,0.818692
30,27284,h,3,4,2,4.06291,1.38016
31,27295,a,0,0,1,0.757145,0.768437
32,27304,h,3,3,0,3.34529,1.13186
33,27314,a,1,0,0,0.391409,0.908148
34,27323,h,3,4,0,1.71528,0.298675
35,27335,a,0,0,2,1.34093,1.07473
36,27342,h,3,4,1,4.94276,0.821908
37,27358,a,3,4,0,3.10637,0.0503369
