,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26987,a,3,2,1,3.48824,1.55206
1,26995,h,3,2,1,2.41577,1.09985
2,27004,a,3,2,1,1.51872,0.392473
3,27012,h,3,7,0,4.94022,0.422493
4,27028,a,3,4,1,2.5936,1.09568
5,27037,a,3,5,1,4.1937,2.39605
6,27043,h,3,1,0,2.20799,0.929851
7,27056,a,0,2,4,0.751814,2.50067
8,27064,a,3,3,0,2.49367,0.794829
9,27074,h,3,5,1,4.08528,0.599652
10,27085,a,3,4,0,2.51566,1.40359
11,27101,h,3,3,1,1.94398,0.787359
12,27108,a,0,0,1,0.514102,1.88518
13,27117,a,1,2,2,1.93782,2.75981
14,27122,h,0,1,2,2.18354,0.599185
15,27167,a,3,5,1,5.38074,0.921728
16,27139,a,1,2,2,1.54117,2.76257
17,27143,h,0,0,1,2.16597,0.77236
18,27160,h,0,1,2,3.37424,0.710716
19,27177,a,1,1,1,3.50383,1.16921
20,27184,h,3,7,1,4.35875,1.30328
21,27200,h,3,1,0,1.18526,0.126278
22,27206,a,3,4,1,1.93199,0.921429
23,27214,h,3,1,0,2.82775,1.30941
24,27226,a,3,2,0,1.66486,0.431009
25,27232,h,3,4,0,3.63697,0
26,27252,a,3,4,2,2.16215,1.09435
27,27244,h,3,3,0,4.63707,0.53356
28,27270,h,3,4,1,2.75333,0.490847
29,27272,h,1,1,1,1.46844,0.249939
30,27288,a,3,1,0,1.10105,0.5988
31,27292,h,3,4,3,2.56587,2.50499
32,27305,h,3,1,0,3.43457,0.326579
33,27316,a,3,2,1,2.21168,0.745612
34,27324,h,3,4,3,4.10632,2.5616
35,27332,a,3,2,0,0.735877,1.51531
36,27343,h,0,2,3,1.569,1.96183
37,27353,a,3,3,0,3.36402,0.750806
