,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26984,h,3,2,1,0.793797,1.9391
1,26992,h,3,3,1,1.30571,1.1544
2,27002,a,0,3,4,3.79183,4.3817
3,27018,a,0,2,3,1.72329,0.779621
4,27025,h,3,3,1,1.99273,0.382657
5,27032,a,0,1,3,1.21547,0.864304
6,27048,h,0,0,1,1.76126,0.778357
7,27054,h,1,1,1,0.52399,1.41269
8,27069,a,3,1,0,0.814163,0.964894
9,27075,h,0,1,2,1.79112,1.19816
10,27086,a,0,0,3,0.767239,1.54881
11,27094,h,3,1,0,2.12477,0.424746
12,27103,a,1,2,2,0.941675,1.65065
13,27117,h,1,2,2,2.75981,1.93782
14,27131,a,0,1,3,1.55998,1.50136
15,27136,h,3,2,0,1.19949,1.09038
16,27145,a,0,0,1,0.928845,0.487466
17,27154,h,3,2,0,1.22165,0.314488
18,27169,a,0,1,2,3.25801,1.00439
19,27175,h,0,1,2,0.40033,2.49675
20,27186,a,1,1,1,0.155093,0.891741
21,27199,a,0,1,2,0.51501,1.93065
22,27207,h,3,3,2,1.75134,1.51159
23,27212,a,1,1,1,1.45388,0.689105
24,27223,h,3,1,0,2.31891,0.838476
25,27237,a,1,2,2,1.64758,0.89503
26,27246,h,3,2,1,1.07104,0.99815
27,27257,a,3,1,0,1.81654,0.839415
28,27263,h,1,1,1,1.07663,0.52734
29,27278,a,3,2,1,1.12056,0.670008
30,27282,h,0,0,2,0.824366,0.780846
31,27292,a,0,3,4,2.50499,2.56587
32,27307,h,3,3,0,3.19678,0.5946
33,27317,a,0,2,3,2.13071,3.07408
34,27326,h,3,3,2,0.959531,2.61391
35,27337,a,3,1,0,1.29945,3.31324
36,27344,h,0,1,2,2.4242,0.906857
37,27359,a,3,2,1,1.30818,0.35897
