,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26990,a,0,0,1,0.515586,1.17753
1,26997,h,0,0,1,1.79566,0.796104
2,27009,a,1,0,0,0.855829,3.88587
3,27014,h,3,2,1,1.84679,1.0088
4,27022,h,3,3,2,1.95102,2.3693
5,27041,a,0,1,4,0.318831,4.89487
6,27042,h,0,1,2,0.355072,1.96233
7,27061,a,0,0,1,0.569387,1.97922
8,27071,h,3,2,1,0.948554,1.79839
9,27072,a,0,1,4,0.500795,1.46517
10,27091,h,0,0,2,1.0292,0.813306
11,27101,a,0,1,3,0.787359,1.94398
12,27121,a,0,1,4,0.488285,3.28521
13,27131,h,3,3,1,1.50136,1.55998
14,27132,a,0,0,1,1.17303,0.530268
15,27150,h,1,0,0,0.298744,0.213917
16,27102,h,1,1,1,1.87851,1.78128
17,27152,a,0,0,1,0.878983,0.956162
18,27171,h,1,1,1,1.05544,1.92496
19,27172,h,3,2,1,1.28839,1.72021
20,27191,a,1,1,1,1.27943,1.15013
21,27201,h,3,1,0,0.52719,1.52796
22,27202,a,0,1,2,0.872507,1.67839
23,27221,h,1,1,1,1.19577,0.896815
24,27231,a,3,1,0,0.495881,1.54627
25,27242,h,1,1,1,0.325296,1.58787
26,27261,a,0,1,2,0.184342,2.57036
27,27262,h,1,1,1,0.985043,0.994468
28,27281,a,3,4,0,3.48741,0.501253
29,27282,a,3,2,0,0.780846,0.824366
30,27301,h,3,1,0,0.367268,0.736613
31,27302,a,1,1,1,0.344156,1.07897
32,27241,a,0,0,1,1.53522,1.35413
33,27321,h,0,1,2,0.873167,1.05631
34,27322,a,0,2,3,1.57739,2.05779
35,27332,h,0,0,2,1.51531,0.735877
36,27351,a,0,0,2,0.572332,1.92502
37,27352,h,3,2,0,1.72167,0.735505
