,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26982,a,1,1,1,0.537517,0.290195
1,26996,h,1,0,0,0.512723,0.161076
2,27020,h,1,0,0,0.547095,0.0209183
3,27029,a,0,0,1,0.971555,1.64801
4,27007,a,0,1,2,0.864309,3.06176
5,27034,h,1,1,1,1.24276,0.783211
6,27043,a,0,0,1,0.929851,2.20799
7,27059,h,3,2,0,2.55847,0.415348
8,27062,h,1,1,1,1.34832,0.247706
9,27080,a,1,1,1,2.02638,1.14683
10,27082,h,1,1,1,2.97825,0.63831
11,27094,a,0,0,1,0.424746,2.12477
12,27104,h,0,0,1,0.220796,0.521025
13,27113,h,3,2,0,0.658487,0.729169
14,27127,a,0,0,2,0.34657,3.23626
15,27132,h,3,1,0,0.530268,1.17303
16,27142,a,0,0,1,0.238672,1.85376
17,27155,h,0,0,1,0.735241,2.06274
18,27170,a,3,2,1,1.39575,1.62636
19,27177,h,1,1,1,1.16921,3.50383
20,27188,a,3,3,0,2.01027,1.26074
21,27193,h,1,0,0,0.922731,0.871043
22,27204,a,3,1,0,0.825065,1.25855
23,27213,a,3,2,1,0.95535,1.287
24,27227,h,0,1,2,0.86267,2.34571
25,27238,a,0,0,1,0.585024,0.554524
26,27250,h,3,2,1,1.39814,1.02142
27,27258,a,3,2,1,0.900928,2.08486
28,27264,h,0,1,2,0.940085,1.38471
29,27279,a,3,4,0,2.80288,0.300994
30,27286,h,0,1,3,1.61783,1.54225
31,27301,a,0,0,1,0.736613,0.367268
32,27308,h,0,0,1,2.53565,1.74803
33,27318,a,0,0,1,0.8041,1.2162
34,27330,a,0,0,3,0.590071,2.97396
35,27334,h,0,0,2,0.73382,1.33336
36,27346,a,3,2,1,1.55977,0.809089
37,27359,h,0,1,2,0.35897,1.30818
