,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26983,a,1,1,1,1.54726,1.80582
1,27001,a,0,0,3,0.596524,1.42393
2,27010,h,3,4,0,2.6015,0.0199618
3,27019,a,3,2,0,2.36355,0.812687
4,27028,h,0,1,4,1.09568,2.5936
5,27038,a,0,0,2,0.387698,0.350785
6,27044,h,1,0,0,2.1579,0.377734
7,27054,a,1,1,1,1.41269,0.52399
8,27066,h,3,2,1,2.17393,3.15974
9,27076,h,0,0,1,0.446152,1.86082
10,27087,a,0,0,1,1.04715,1.24451
11,27095,h,3,4,3,1.81274,0.320545
12,27104,a,3,1,0,0.521025,0.220796
13,27121,h,3,4,1,3.28521,0.488285
14,27128,a,1,2,2,0.516301,1.96842
15,27137,h,0,0,3,0.351337,1.16034
16,27146,a,0,1,2,0.939735,1.65091
17,27156,h,3,3,0,2.16439,0.0119855
18,27166,a,3,1,0,0.625652,1.72201
19,27173,h,0,1,2,1.14329,3.09224
20,27189,a,0,1,2,1.56182,3.01055
21,27194,h,3,2,1,2.19186,1.31791
22,27209,a,0,0,3,0.0558089,3.81937
23,27213,h,0,1,2,1.287,0.95535
24,27228,a,0,0,2,0.325619,2.36313
25,27237,h,1,2,2,0.89503,1.64758
26,27242,a,1,1,1,1.58787,0.325296
27,27253,h,1,1,1,1.17978,1.21975
28,27270,a,0,1,4,0.490847,2.75333
29,27280,h,0,0,1,1.73306,0.805674
30,27289,a,0,1,2,0.57428,1.68846
31,27296,h,0,1,3,1.10326,2.28252
32,27311,a,1,1,1,0.764098,0.330809
33,27312,h,3,1,0,1.77813,0.488126
34,27327,h,0,0,1,0.280235,2.28245
35,27338,a,3,1,0,1.56752,1.30694
36,27347,a,0,2,3,1.64512,1.87253
37,27358,h,0,0,4,0.0503369,3.10637
