,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26985,h,1,2,2,1.3187,2.09987
1,26999,a,0,1,2,1.23438,1.58998
2,27011,h,1,1,1,0.809213,3.28322
3,27017,a,0,0,2,0.547308,2.01026
4,27027,h,0,2,3,1.5194,1.80432
5,27040,a,0,1,2,1.28282,1.97167
6,27049,h,1,1,1,1.10799,2.66646
7,27058,a,0,1,3,0.802357,4.07869
8,27069,h,0,0,1,0.964894,0.814163
9,27081,a,3,3,2,1.56861,1.94417
10,27087,h,3,1,0,1.24451,1.04715
11,27093,a,0,0,2,0.0329044,1.73469
12,27110,a,3,3,1,1.25211,2.63982
13,27115,h,0,2,3,1.15972,1.45816
14,27122,a,3,2,1,0.599185,2.18354
15,27138,h,3,2,1,1.27625,1.30835
16,27151,a,1,0,0,0.840973,1.24562
17,27152,h,3,1,0,0.956162,0.878983
18,27170,h,0,1,2,1.62636,1.39575
19,27180,a,0,1,4,1.06201,6.40549
20,27185,h,1,1,1,0.833212,2.53692
21,27194,a,0,1,2,1.31791,2.19186
22,27203,h,0,1,2,1.90619,1.26021
23,27217,a,0,1,3,1.04401,2.33414
24,27226,h,0,0,2,0.431009,1.66486
25,27239,a,1,1,1,0.163235,2.17386
26,27245,a,0,0,1,0.426529,2.31412
27,27260,h,1,2,2,1.94387,1.49888
28,27263,a,1,1,1,0.52734,1.07663
29,27274,h,0,1,3,1.75387,2.81501
30,27286,a,3,3,1,1.54225,1.61783
31,27295,h,3,1,0,0.768437,0.757145
32,27303,a,0,0,1,1.01774,2.63805
33,27313,h,0,2,3,1.80995,1.6731
34,27329,h,0,0,1,0.721442,1.00781
35,27340,a,0,0,1,0.399067,0.93125
36,27350,h,0,0,1,0.513718,1.06274
37,27352,a,0,0,2,0.735505,1.72167
