,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26986,a,1,1,1,1.33949,1.7631
1,26999,h,3,2,1,1.58998,1.23438
2,27005,a,1,0,0,0.184577,0.773785
3,27016,h,0,0,1,0.52078,1.48758
4,27024,a,0,0,2,0.107021,1.72201
5,27047,h,0,0,2,0.666594,1.32325
6,27034,a,1,1,1,0.783211,1.24276
7,27060,a,1,1,1,0.852356,1.15229
8,27065,h,1,0,0,0.913168,0.703751
9,27073,a,0,1,3,0.271901,5.21397
10,27086,h,3,3,0,1.54881,0.767239
11,27095,a,0,3,4,0.320545,1.81274
12,27105,h,3,1,0,1.09319,0.539924
13,27116,h,0,0,3,0.108948,2.73014
14,27124,a,1,1,1,1.3688,1.28884
15,27133,h,0,0,3,0.463722,1.74462
16,27143,a,3,1,0,0.77236,2.16597
17,27158,h,0,2,5,1.47457,4.01011
18,27171,a,1,1,1,1.92496,1.05544
19,27176,h,3,1,0,0.770342,3.0563
20,27182,a,1,0,0,1.57401,2.27277
21,27197,h,0,0,1,1.00009,2.39088
22,27208,a,0,0,2,0.417562,2.03187
23,27219,h,1,3,3,1.76328,1.4212
24,27230,a,0,0,3,0.256673,1.0679
25,27238,h,3,1,0,0.554524,0.585024
26,27246,a,0,1,2,0.99815,1.07104
27,27256,h,0,2,3,1.57329,2.92809
28,27268,a,0,2,3,2.38359,3.59257
29,27275,h,1,1,1,2.22334,2.07408
30,27288,h,0,0,1,0.5988,1.10105
31,27300,a,1,0,0,0.951824,1.06921
32,27311,h,1,1,1,0.330809,0.764098
33,27320,a,1,2,2,0.804853,2.33742
34,27322,h,3,3,2,2.05779,1.57739
35,27341,a,0,0,3,1.19032,2.28885
36,27350,a,3,1,0,1.06274,0.513718
37,27357,h,3,3,0,1.74736,0.479375
