,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26989,h,1,1,1,1.30561,0.608052
1,26994,a,0,0,1,0.427602,0.887678
2,27003,h,1,0,0,0.940858,0.60976
3,27016,a,3,1,0,1.48758,0.52078
4,27026,h,0,1,2,0.345425,2.41884
5,27045,h,3,1,0,1.56932,0.499139
6,27033,a,3,2,1,1.4369,1.37084
7,27057,a,3,2,1,2.49026,1.31551
8,27071,a,0,1,2,1.79839,0.948554
9,27077,h,3,1,0,2.72076,0.464955
10,27083,h,1,0,0,0.542356,0.755466
11,27097,a,0,0,1,0.708287,1.43582
12,27107,h,0,0,1,0.735147,0.93863
13,27115,a,3,3,2,1.45816,1.15972
14,27123,h,3,2,1,0.721435,1.33443
15,27167,h,0,1,5,0.921728,5.38074
16,27136,a,0,0,2,1.09038,1.19949
17,27146,h,3,2,1,1.65091,0.939735
18,27155,a,3,1,0,2.06274,0.735241
19,27178,a,0,0,4,0.390989,2.35437
20,27187,h,0,0,1,0.789384,0.59491
21,27192,a,0,0,2,0.421783,1.59869
22,27210,h,1,1,1,1.17321,1.81967
23,27217,h,3,3,1,2.33414,1.04401
24,27229,a,1,1,1,1.64957,1.5822
25,27240,h,1,1,1,1.83195,1.63763
26,27243,a,1,1,1,1.02509,0.938663
27,27261,h,3,2,1,2.57036,0.184342
28,27267,a,0,0,1,0.657805,0.731544
29,27278,h,0,1,2,0.670008,1.12056
30,27290,a,3,2,0,0.801126,0.616782
31,27300,h,1,0,0,1.06921,0.951824
32,27305,a,0,0,1,0.326579,3.43457
33,27312,a,0,0,1,0.488126,1.77813
34,27328,h,3,2,1,1.75638,2.76393
35,27339,a,0,1,2,0.475193,3.46174
36,27346,h,0,1,2,0.809089,1.55977
37,27360,a,1,0,0,0.747939,2.11982
