,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26986,h,1,1,1,1.7631,1.33949
1,26994,h,3,1,0,0.887678,0.427602
2,27010,a,0,0,4,0.0199618,2.6015
3,27018,h,3,3,2,0.779621,1.72329
4,27030,a,0,1,3,0.530311,1.48433
5,27040,h,3,2,1,1.97167,1.28282
6,27050,a,1,0,0,0.377552,1.17527
7,27056,h,3,4,2,2.50067,0.751814
8,27062,a,1,1,1,0.247706,1.34832
9,27079,h,0,1,2,2.21025,2.79181
10,27088,a,3,2,0,1.06487,1.6767
11,27096,h,3,1,0,3.21695,0.204092
12,27109,a,0,0,4,0.0678926,3.27315
13,27114,h,1,2,2,1.3273,2.68193
14,27129,a,1,1,1,1.04839,1.09081
15,27141,h,1,2,2,2.31345,1.50067
16,27150,a,1,0,0,0.213917,0.298744
17,27159,h,0,1,2,0.417557,1.18093
18,27163,a,0,0,1,0.391974,2.28719
19,27174,h,1,1,1,0.660386,0.797534
20,27185,a,1,1,1,2.53692,0.833212
21,27195,h,3,2,1,1.11088,2.35115
22,27210,a,1,1,1,1.81967,1.17321
23,27220,h,1,1,1,1.64382,2.73344
24,27223,a,0,0,1,0.838476,2.31891
25,27234,h,1,3,3,1.26777,1.54983
26,27258,h,0,1,2,2.08486,0.900928
27,27244,a,0,0,3,0.53356,4.63707
28,27269,a,1,0,0,0.564979,0.759463
29,27275,a,1,1,1,2.07408,2.22334
30,27289,h,3,2,1,1.68846,0.57428
31,27297,a,3,3,2,2.36202,1.45455
32,27309,h,3,1,0,0.373711,0.934425
33,27319,a,0,2,4,1.41412,2.30041
34,27325,a,1,1,1,2.2272,0.359348
35,27335,h,3,2,0,1.07473,1.34093
36,27351,h,3,2,0,1.92502,0.572332
37,27356,a,1,1,1,1.88098,1.57466
