,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26988,a,3,2,1,1.60148,1.56608
1,26996,a,1,0,0,0.161076,0.512723
2,27004,h,0,1,2,0.392473,1.51872
3,27014,a,0,1,2,1.0088,1.84679
4,27030,h,3,3,1,1.48433,0.530311
5,27036,h,1,1,1,1.68952,0.554066
6,27044,a,1,0,0,0.377734,2.1579
7,27060,h,1,1,1,1.15229,0.852356
8,27070,a,3,2,1,1.64746,1.65842
9,27077,a,0,0,1,0.464955,2.72076
10,27090,h,3,1,0,2.89009,0.871439
11,27110,h,0,1,3,2.63982,1.25211
12,27119,a,0,0,1,0.862262,1.57063
13,27125,h,0,1,2,0.590024,0.556919
14,27140,a,3,1,0,1.02294,1.0002
15,27144,h,1,3,3,1.60769,1.15429
16,27098,a,1,1,1,1.85712,2.52908
17,27153,a,1,1,1,0.878426,1.93031
18,27169,h,3,2,1,1.00439,3.25801
19,27174,a,1,1,1,0.797534,0.660386
20,27189,h,3,2,1,3.01055,1.56182
21,27197,a,3,1,0,2.39088,1.00009
22,27211,h,3,1,0,2.87261,0.610157
23,27214,a,0,0,1,1.30941,2.82775
24,27224,h,0,0,1,0.514336,0.79404
25,27235,h,1,1,1,2.59009,0.807803
26,27251,a,0,1,2,1.21003,1.59439
27,27254,h,1,2,2,0.536859,0.905535
28,27266,a,3,2,0,0.681703,1.60064
29,27281,h,0,0,4,0.501253,3.48741
30,27283,a,0,1,3,1.81883,1.97654
31,27293,h,1,1,1,0.722317,2.06284
32,27304,a,0,0,3,1.13186,3.34529
33,27318,h,3,1,0,1.2162,0.8041
34,27329,a,3,1,0,1.00781,0.721442
35,27336,h,1,2,2,1.30199,1.17134
36,27344,a,3,2,1,0.906857,2.4242
37,27360,h,1,0,0,2.11982,0.747939
