,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26983,h,1,1,1,1.80582,1.54726
1,27000,a,1,0,0,1.36012,0.172545
2,27021,a,0,0,2,0.831429,2.37168
3,27024,h,3,2,0,1.72201,0.107021
4,27007,h,3,2,1,3.06176,0.864309
5,27033,h,0,1,2,1.37084,1.4369
6,27049,a,1,1,1,2.66646,1.10799
7,27061,h,3,1,0,1.97922,0.569387
8,27068,a,0,0,1,0.436615,1.8284
9,27079,a,3,2,1,2.79181,2.21025
10,27084,h,3,1,0,2.20384,0.555217
11,27092,a,1,1,1,1.54499,4.2033
12,27103,h,1,2,2,1.65065,0.941675
13,27118,a,0,2,4,1.05242,1.67338
14,27130,a,0,0,2,0.366137,0.818081
15,27139,h,1,2,2,2.76257,1.54117
16,27148,a,3,2,1,1.6735,1.60957
17,27153,h,1,1,1,1.93031,0.878426
18,27168,a,0,0,1,1.03813,1.62446
19,27181,h,0,1,3,0.501492,1.6539
20,27187,a,3,1,0,0.59491,0.789384
21,27198,h,1,2,2,1.31717,1.75905
22,27207,a,0,2,3,1.51159,1.75134
23,27218,h,3,3,0,2.49445,0.20529
24,27227,a,3,2,1,2.34571,0.86267
25,27233,h,3,2,1,2.23957,1.05072
26,27245,h,3,1,0,2.31412,0.426529
27,27256,a,3,3,2,2.92809,1.57329
28,27271,h,3,2,1,0.894203,0.867589
29,27272,a,1,1,1,0.249939,1.46844
30,27285,h,0,1,2,2.04046,1.32607
31,27296,a,3,3,1,2.28252,1.10326
32,27306,h,3,5,1,2.26702,0.839722
33,27321,a,3,2,1,1.05631,0.873167
34,27325,h,1,1,1,0.359348,2.2272
35,27336,a,1,2,2,1.17134,1.30199
36,27342,a,0,1,4,0.821908,4.94276
37,27354,h,1,1,1,1.15286,0.647724
