,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26989,a,1,1,1,0.608052,1.30561
1,26998,h,3,3,0,2.17954,0.378528
2,27011,a,1,1,1,3.28322,0.809213
3,27021,h,3,2,0,2.37168,0.831429
4,27031,a,3,2,0,2.2759,1.41828
5,27041,h,3,4,1,4.89487,0.318831
6,27051,h,3,3,2,1.79791,0.853455
7,27053,a,1,1,1,0.660987,1.05477
8,27063,h,3,2,0,0.459582,1.4618
9,27075,a,3,2,1,1.19816,1.79112
10,27085,h,0,0,4,1.40359,2.51566
11,27109,h,3,4,0,3.27315,0.0678926
12,27116,a,3,3,0,2.73014,0.108948
13,27127,h,3,2,0,3.23626,0.34657
14,27162,a,0,1,2,1.97732,2.08134
15,27137,a,3,3,0,1.16034,0.351337
16,27144,a,1,3,3,1.15429,1.60769
17,27157,h,3,4,2,2.90098,1.41183
18,27099,a,3,2,1,2.69157,1.35313
19,27180,h,3,4,1,6.40549,1.06201
20,27190,a,3,3,0,2.45677,0.234653
21,27201,a,0,0,1,1.52796,0.52719
22,27205,h,1,1,1,2.55575,1.62463
23,27220,a,1,1,1,2.73344,1.64382
24,27228,h,3,2,0,2.36313,0.325619
25,27233,a,0,1,2,1.05072,2.23957
26,27251,h,3,2,1,1.59439,1.21003
27,27259,a,3,2,1,1.10001,2.00539
28,27268,h,3,3,2,3.59257,2.38359
29,27273,h,0,1,2,3.36121,1.08997
30,27287,a,3,1,0,1.26541,0.607781
31,27294,h,3,1,0,2.40667,0.132511
32,27308,a,3,1,0,1.74803,2.53565
33,27317,h,3,3,2,3.07408,2.13071
34,27324,a,0,3,4,2.5616,4.10632
35,27339,h,3,2,1,3.46174,0.475193
36,27348,a,3,2,0,1.95992,0.484891
37,27355,h,3,2,0,2.61915,1.18496
