,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26988,h,0,1,2,1.56608,1.60148
1,26997,a,3,1,0,0.796104,1.79566
2,27008,h,0,1,2,0.951647,2.62561
3,27020,a,1,0,0,0.0209183,0.547095
4,27031,h,0,0,2,1.41828,2.2759
5,27045,a,0,0,1,0.499139,1.56932
6,27039,a,1,0,0,1.3906,0.952589
7,27055,h,3,3,0,3.6853,0.805963
8,27067,h,1,1,1,1.08517,0.561748
9,27076,a,3,1,0,1.86082,0.446152
10,27088,h,0,0,2,1.6767,1.06487
11,27100,a,3,2,0,1.21835,0.629505
12,27108,h,3,1,0,1.88518,0.514102
13,27112,a,0,0,1,0.799084,1.65075
14,27130,h,3,2,0,0.818081,0.366137
15,27133,a,3,3,0,1.74462,0.463722
16,27151,h,1,0,0,1.24562,0.840973
17,27154,a,0,0,2,0.314488,1.22165
18,27164,h,3,1,0,0.805968,1.22527
19,27179,a,0,0,1,0.758224,1.77248
20,27188,h,0,0,3,1.26074,2.01027
21,27195,a,0,1,2,2.35115,1.11088
22,27202,h,3,2,1,1.67839,0.872507
23,27218,a,0,0,3,0.20529,2.49445
24,27230,h,3,3,0,1.0679,0.256673
25,27232,a,0,0,4,0,3.63697
26,27247,h,0,0,1,0.803868,1.01162
27,27254,a,1,2,2,0.905535,0.536859
28,27265,h,3,2,1,1.32811,1.29525
29,27274,a,3,3,1,2.81501,1.75387
30,27290,h,0,0,2,0.616782,0.801126
31,27298,a,1,2,2,2.29777,2.14498
32,27310,a,0,0,1,0.472083,0.815479
33,27315,h,1,0,0,0.893155,0.232928
34,27323,a,0,0,4,0.298675,1.71528
35,27337,h,0,0,1,3.31324,1.29945
36,27347,h,3,3,2,1.87253,1.64512
37,27355,a,0,0,2,1.18496,2.61915
