,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26990,h,3,1,0,1.17753,0.515586
1,26998,a,0,0,3,0.378528,2.17954
2,27005,h,1,0,0,0.773785,0.184577
3,27012,a,0,0,7,0.422493,4.94022
4,27025,a,0,1,3,0.382657,1.99273
5,27039,h,1,0,0,0.952589,1.3906
6,27046,a,0,1,2,0.411515,1.67099
7,27057,h,0,1,2,1.31551,2.49026
8,27070,h,0,1,2,1.65842,1.64746
9,27078,a,3,3,2,2.33646,0.433035
10,27089,h,0,1,2,0.97802,2.68435
11,27096,a,0,0,1,0.204092,3.21695
12,27106,h,1,1,1,0.887674,1.487
13,27113,a,0,0,2,0.729169,0.658487
14,27126,h,0,0,5,0.437294,3.40487
15,27138,a,0,1,2,1.30835,1.27625
16,27147,h,3,1,0,0.531831,0.657242
17,27156,a,0,0,3,0.0119855,2.16439
18,27168,h,3,1,0,1.62446,1.03813
19,27172,a,0,1,2,1.72021,1.28839
20,27190,h,0,0,3,0.234653,2.45677
21,27196,a,0,1,5,0.747261,3.89354
22,27211,a,0,0,1,0.610157,2.87261
23,27215,h,0,0,4,0.532481,1.4827
24,27222,a,0,1,7,0.598765,5.3162
25,27239,h,1,1,1,2.17386,0.163235
26,27248,a,0,1,2,0.645621,2.37105
27,27257,h,0,0,1,0.839415,1.81654
28,27265,a,0,1,2,1.29525,1.32811
29,27279,h,0,0,4,0.300994,2.80288
30,27284,a,0,2,4,1.38016,4.06291
31,27297,h,0,2,3,1.45455,2.36202
32,27306,a,0,1,5,0.839722,2.26702
33,27316,h,0,1,2,0.745612,2.21168
34,27328,a,0,1,2,2.76393,1.75638
35,27338,h,0,0,1,1.30694,1.56752
36,27349,h,0,0,1,0.890453,1.22692
37,27357,a,0,0,3,0.479375,1.74736
