,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26985,a,1,2,2,2.09987,1.3187
1,26993,h,0,1,2,1.23826,1.39825
2,27003,a,1,0,0,0.60976,0.940858
3,27019,h,0,0,2,0.812687,2.36355
4,27029,h,3,1,0,1.64801,0.971555
5,27035,a,0,1,2,0.623937,1.40641
6,27046,h,3,2,1,1.67099,0.411515
7,27052,a,1,1,1,1.24147,1.82961
8,27068,h,3,1,0,1.8284,0.436615
9,27074,a,0,1,5,0.599652,4.08528
10,27091,a,3,2,0,0.813306,1.0292
11,27100,h,0,0,2,0.629505,1.21835
12,27105,a,0,0,1,0.539924,1.09319
13,27119,h,3,1,0,1.57063,0.862262
14,27129,h,1,1,1,1.09081,1.04839
15,27135,a,0,3,4,0.635773,2.32183
16,27145,h,3,1,0,0.487466,0.928845
17,27157,a,0,2,4,1.41183,2.90098
18,27165,h,1,1,1,0.734356,1.08107
19,27173,a,3,2,1,3.09224,1.14329
20,27191,h,1,1,1,1.15013,1.27943
21,27193,a,1,0,0,0.871043,0.922731
22,27206,h,0,1,4,0.921429,1.93199
23,27215,a,3,4,0,1.4827,0.532481
24,27229,h,1,1,1,1.5822,1.64957
25,27235,a,1,1,1,0.807803,2.59009
26,27247,a,3,1,0,1.01162,0.803868
27,27255,h,0,0,1,0.459323,1.64488
28,27271,a,0,1,2,0.867589,0.894203
29,27277,h,0,1,2,0.818692,1.23653
30,27291,a,0,0,1,0.910522,1.42634
31,27299,h,1,1,1,1.89613,1.30312
32,27309,a,0,0,1,0.934425,0.373711
33,27320,h,1,2,2,2.33742,0.804853
34,27326,a,0,2,3,2.61391,0.959531
35,27340,h,3,1,0,0.93125,0.399067
36,27348,h,0,0,2,0.484891,1.95992
37,27361,a,0,2,4,1.64829,1.28805
