,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26987,h,0,1,2,1.55206,3.48824
1,26992,a,0,1,3,1.1544,1.30571
2,27006,a,0,0,1,0.0996371,1.51595
3,27015,h,1,1,1,1.14322,0.885369
4,27023,a,0,0,3,0.18311,3.22965
5,27038,h,3,2,0,0.350785,0.387698
6,27050,h,1,0,0,1.17527,0.377552
7,27055,a,0,0,3,0.805963,3.6853
8,27065,a,1,0,0,0.703751,0.913168
9,27081,h,0,2,3,1.94417,1.56861
10,27082,a,1,1,1,0.63831,2.97825
11,27118,h,3,4,2,1.67338,1.05242
12,27123,a,0,1,2,1.33443,0.721435
13,27140,h,0,0,1,1.0002,1.02294
14,27147,a,0,0,1,0.657242,0.531831
15,27102,a,1,1,1,1.78128,1.87851
16,27161,h,1,2,2,1.34762,1.54294
17,27099,h,0,1,2,1.35313,2.69157
18,27165,a,1,1,1,1.08107,0.734356
19,27179,h,3,1,0,1.77248,0.758224
20,27184,a,0,1,7,1.30328,4.35875
21,27199,h,3,2,1,1.93065,0.51501
22,27208,h,3,2,0,2.03187,0.417562
23,27216,a,1,1,1,0.740954,1.04228
24,27225,h,0,0,3,1.35435,2.31785
25,27234,a,1,3,3,1.54983,1.26777
26,27248,h,3,2,1,2.37105,0.645621
27,27253,a,1,1,1,1.21975,1.17978
28,27267,h,3,1,0,0.731544,0.657805
29,27273,a,3,2,1,1.08997,3.36121
30,27291,h,3,1,0,1.42634,0.910522
31,27293,a,1,1,1,2.06284,0.722317
32,27302,h,1,1,1,1.07897,0.344156
33,27313,a,3,3,2,1.6731,1.80995
34,27330,h,3,3,0,2.97396,0.590071
35,27333,a,0,0,1,0.584778,2.06262
36,27345,h,0,0,1,0.388682,1.16214
37,27354,a,1,1,1,0.647724,1.15286
