,id,side,result,goals_for,goals_against,xG_for,xG_against
0,26991,h,1,2,2,0.68684,1.13868
1,26993,a,3,2,1,1.39825,1.23826
2,27002,h,3,4,3,4.3817,3.79183
3,27015,a,1,1,1,0.885369,1.14322
4,27026,a,3,2,1,2.41884,0.345425
5,27037,h,0,1,5,2.39605,4.1937
6,27042,a,3,2,1,1.96233,0.355072
7,27058,h,3,3,1,4.07869,0.802357
8,27063,a,0,0,2,1.4618,0.459582
9,27080,h,1,1,1,1.14683,2.02638
10,27089,a,3,2,1,2.68435,0.97802
11,27111,h,3,3,0,1.44293,0.608571
12,27114,a,1,2,2,2.68193,1.3273
13,27128,h,1,2,2,1.96842,0.516301
14,27134,a,0,0,2,0.796459,1.31484
15,27148,h,0,1,2,1.60957,1.6735
16,27098,h,1,1,1,2.52908,1.85712
17,27158,a,3,5,2,4.01011,1.47457
18,27164,a,0,0,1,1.22527,0.805968
19,27178,h,3,4,0,2.35437,0.390989
20,27183,a,1,1,1,1.78456,1.72274
21,27196,h,3,5,1,3.89354,0.747261
22,27203,a,3,2,1,1.26021,1.90619
23,27216,h,1,1,1,1.04228,0.740954
24,27224,a,3,1,0,0.79404,0.514336
25,27249,a,0,0,1,2.63287,1.21479
26,27259,h,0,1,2,2.00539,1.10001
27,27264,a,3,2,1,1.38471,0.940085
28,27276,h,1,0,0,1.59491,0.998653
29,27285,a,3,2,1,1.32607,2.04046
30,27298,h,1,2,2,2.14498,2.29777
31,27307,a,0,0,3,0.5946,3.19678
32,27241,h,3,1,0,1.35413,1.53522
33,27319,h,3,4,2,2.30041,1.41412
34,27327,a,3,1,0,2.28245,0.280235
35,27341,h,3,3,0,2.28885,1.19032
36,27343,a,3,3,2,1.96183,1.569
37,27361,h,3,4,2,1.28805,1.64829
