position,team_title,points,points_h,points_a,goals_per90_h,goals_per90_a,against_per90_h,against_per90_a,xG_per90_h,xG_per90_a,xGa_per90_h,xGa_per90_a,points_pvalue,goals_for_pvalue,goals_against_pvalue,xG_for_pvalue,xG_against_pvalue
1,Barcelona,88.0,43.0,45.0,2.736842105263158,2.6315789473684212,1.0526315789473684,1.0,2.9400168421052633,2.294983842105263,0.9099883684210526,1.3521666315789476,0.7889463391863658,0.855158575081805,0.8769338183889364,0.1047073884808572,0.07868131377468324
2,Real_Madrid,84.0,49.0,35.0,2.3684210526315788,1.736842105263158,1.0,1.0,2.8395653684210522,1.797044157894737,1.0423799263157896,1.3824580526315788,0.05980200023915226,0.0733758080935684,1.0,0.0049592838982257135,0.23596327694198857
3,Atletico_Madrid,76.0,46.0,30.0,2.210526315789474,1.368421052631579,0.7894736842105263,0.7894736842105263,2.4340044736842104,1.3723929473684209,0.8237811789473684,1.2057637315789473,0.03289271488021288,0.05861580366152499,1.0,0.006694445158726457,0.11018160203957812
4,Athletic_Club,70.0,39.0,31.0,1.6842105263157894,1.1578947368421053,0.6842105263157895,0.8421052631578947,1.8573706315789473,1.284818842105263,1.1032056842105264,1.1275279473684212,0.2935756500266798,0.24775129300508214,0.5243904478670018,0.11007741613971773,0.9197341742614076
5,Villarreal,70.0,34.0,36.0,2.263157894736842,1.4736842105263157,1.4210526315789473,1.263157894736842,2.1319484210526314,1.7655814736842108,1.509054,1.2014143684210525,0.8045061764050655,0.08163584060027164,0.6399675100999511,0.24110404026052268,0.2908064114333368
6,Real_Betis,60.0,34.0,26.0,1.6842105263157894,1.3157894736842106,1.105263157894737,1.5263157894736843,1.7930375263157894,1.4065225263157894,1.0234294210526316,1.699260894736842,0.31980553872185385,0.26501723127868737,0.2058303543332263,0.13710603618297984,0.027339630215715338
7,Celta_Vigo,55.0,36.0,19.0,1.6842105263157894,1.4210526315789473,1.105263157894737,1.894736842105263,1.552497578947368,1.5238155263157893,1.152700894736842,1.4953317894736842,0.045513723629213985,0.385868584108103,0.029683560836626502,0.9167805062060952,0.2556125979450667
8,Rayo_Vallecano,52.0,26.0,26.0,1.263157894736842,0.8947368421052632,1.368421052631579,1.0,1.5177185263157895,1.1124824736842105,1.2369055263157895,1.770716894736842,1.0,0.16821930134552973,0.2789818597539125,0.1078515722204575,0.05154794246453283
9,Osasuna,52.0,36.0,16.0,1.736842105263158,0.7894736842105263,1.2105263157894737,1.5263157894736843,1.5377833157894738,1.0639252315789474,1.3494366842105263,1.7300098421052632,0.004973385665502878,0.0017482273503625807,0.4138154078308264,0.07756721023974224,0.21605076601616832
10,Mallorca,48.0,27.0,21.0,1.0526315789473684,0.7894736842105263,1.105263157894737,1.2105263157894737,1.2872252631578947,1.0497104736842104,1.3487575263157894,1.4836916842105263,0.47156021344245747,0.3647363109166587,0.7627178910737886,0.2809797112879722,0.6889058680382125
11,Valencia,46.0,31.0,15.0,1.368421052631579,0.9473684210526315,1.0526315789473684,1.7894736842105263,1.4526174210526313,1.0163904789473686,1.122963157894737,1.813247210526316,0.033420034247136236,0.1987257503901257,0.09235698041462012,0.028726995957970066,0.04370097289397053
12,Real_Sociedad,46.0,27.0,19.0,1.0526315789473684,0.7894736842105263,1.0526315789473684,1.368421052631579,1.4722495263157895,1.0490958052631578,1.121420894736842,1.467202157894737,0.3464886753911056,0.4684265209254098,0.40175093572650444,0.12129491732774302,0.17528494126009242
13,Alaves,42.0,24.0,18.0,0.7368421052631579,1.263157894736842,0.8947368421052632,1.631578947368421,1.1867475789473683,1.2541436842105265,1.0680637894736842,1.6418999473684213,0.434636098829851,0.07099596184921533,0.02164184536372656,0.7262189226194059,0.014476565527368878
14,Espanyol,42.0,30.0,12.0,1.2105263157894737,0.8947368421052632,1.0526315789473684,1.631578947368421,1.129444947368421,0.9061894210526316,1.2747365789473684,1.8318399473684208,0.02142099023338573,0.31574282989836755,0.11271729611493644,0.3043203022520461,0.06532664575481939
15,Getafe,42.0,19.0,23.0,0.7894736842105263,1.0,1.0,1.0526315789473684,1.1511324210526317,1.0266011052631578,1.1479508578947366,1.5425852631578947,0.6216217193566768,0.5156068489730649,0.8401340493671282,0.5988699865629714,0.17641033319937596
16,Girona,41.0,24.0,17.0,1.4210526315789473,0.8947368421052632,1.5789473684210527,1.5789473684210527,1.4595168894736843,0.9752930473684212,1.4311042789473687,1.5365406842105263,0.39061148988599603,0.15285939716935087,1.0,0.05334830398490377,0.7542485661438307
17,Sevilla,41.0,24.0,17.0,0.8947368421052632,1.3157894736842106,1.2105263157894737,1.6842105263157894,1.1732936315789473,1.2008244210526318,1.2068295789473686,1.4663343684210524,0.3663969103246518,0.14909053316059576,0.2854201370902508,0.8949558292160054,0.2950803697702334
18,Leganes,40.0,25.0,15.0,1.2105263157894737,0.8421052631578947,1.4210526315789473,1.5263157894736843,1.105230894736842,0.9244706842105265,1.6272884736842108,1.8124343684210522,0.1740456443372095,0.2744077323206298,0.8110980323952117,0.3748101466390059,0.589744803788404
19,Las_Palmas,32.0,17.0,15.0,1.105263157894737,1.0,1.5263157894736843,1.6842105263157894,1.1928893157894738,0.8629601789473685,1.633321105263158,2.252807368421053,0.7905903949363373,0.7234262038914057,0.6238282883580475,0.03265704235258871,0.06541677020702784
20,Real_Valladolid,16.0,13.0,3.0,0.5789473684210527,0.7894736842105263,1.6842105263157894,3.0526315789473686,0.9903195263157896,0.9087210789473685,1.6626494736842108,2.391376947368421,0.08713914911233943,0.36211285994927234,0.015441975750602797,0.690605757858392,0.05971498330569008
